Sentence No, Expected, Actual,Detection Result, Expected, Actual,Correction Result
871,0,1,FP,0,1,FP
872,1,1,TP,1,0,FN
873,1,1,TP,1,1,TP
874,0,1,FP,0,1,FP
875,0,0,TN,0,0,TN
876,0,0,TN,0,0,TN
877,1,1,TP,1,1,TP
878,0,0,TN,0,0,TN
879,1,1,TP,1,1,TP
880,1,1,TP,1,0,FN
881,1,1,TP,1,1,TP
882,1,1,TP,1,1,TP
883,1,0,FN,1,0,FN
884,1,1,TP,1,0,FN
885,0,0,TN,0,0,TN
886,1,1,TP,1,0,FN
887,0,0,TN,0,0,TN
888,1,1,TP,1,1,TP
889,0,0,TN,0,0,TN
890,1,0,FN,1,0,FN
891,0,0,TN,0,0,TN
892,0,1,FP,0,1,FP
893,0,1,FP,0,1,FP
894,1,0,FN,1,0,FN
895,0,1,FP,0,1,FP
896,1,1,TP,1,0,FN
897,0,1,FP,0,1,FP
898,1,1,TP,1,1,TP
899,1,1,TP,1,1,TP
900,1,1,TP,1,1,TP
901,0,0,TN,0,0,TN
902,0,0,TN,0,0,TN
903,1,1,TP,1,1,TP
904,1,1,TP,1,0,FN
905,1,1,TP,1,0,FN
906,0,1,FP,0,1,FP
907,0,1,FP,0,1,FP
908,1,0,FN,1,0,FN
909,0,1,FP,0,1,FP
910,1,1,TP,1,1,TP
911,0,0,TN,0,0,TN
912,0,0,TN,0,0,TN
913,1,1,TP,1,0,FN
914,0,1,FP,0,1,FP
915,1,0,FN,1,0,FN
916,1,1,TP,1,1,TP
917,0,0,TN,0,0,TN
918,1,1,TP,1,1,TP
919,0,1,FP,0,1,FP
920,1,1,TP,1,0,FN
921,1,1,TP,1,0,FN
922,1,1,TP,1,1,TP
923,0,0,TN,0,0,TN
924,0,1,FP,0,1,FP
925,1,0,FN,1,0,FN
926,1,1,TP,1,1,TP
927,1,0,FN,1,0,FN
928,1,1,TP,1,0,FN
929,1,0,FN,1,0,FN
930,0,0,TN,0,0,TN
931,0,1,FP,0,1,FP
932,1,0,FN,1,0,FN
933,0,0,TN,0,0,TN
934,1,1,TP,1,0,FN
935,1,1,TP,1,1,TP
936,1,0,FN,1,0,FN
937,0,1,FP,0,1,FP
938,1,0,FN,1,0,FN
939,1,1,TP,1,1,TP
940,1,1,TP,1,0,FN
941,0,0,TN,0,0,TN
942,1,1,TP,1,1,TP
943,0,1,FP,0,1,FP
944,0,0,TN,0,0,TN
945,1,1,TP,1,1,TP
946,1,1,TP,1,1,TP
947,0,1,FP,0,1,FP
948,0,0,TN,0,0,TN
949,1,1,TP,1,0,FN
950,0,1,FP,0,1,FP
951,0,0,TN,0,0,TN
952,0,1,FP,0,1,FP
953,0,1,FP,0,1,FP
954,1,1,TP,1,0,FN
955,0,0,TN,0,0,TN
956,0,1,FP,0,1,FP
957,1,1,TP,1,1,TP
958,0,1,FP,0,1,FP
959,0,1,FP,0,1,FP
960,1,1,TP,1,1,TP
961,1,1,TP,1,1,TP
962,0,1,FP,0,1,FP
963,0,0,TN,0,0,TN
964,0,0,TN,0,0,TN
965,1,1,TP,1,1,TP
966,1,1,TP,1,1,TP
967,1,0,FN,1,0,FN
968,1,1,TP,1,1,TP
969,1,1,TP,1,0,FN
970,1,1,TP,1,1,TP
971,0,0,TN,0,0,TN
972,1,1,TP,1,0,FN
973,1,0,FN,1,0,FN
974,0,0,TN,0,0,TN
975,1,0,FN,1,0,FN
976,1,1,TP,1,1,TP
977,1,0,FN,1,0,FN
978,0,0,TN,0,0,TN
979,1,0,FN,1,0,FN
980,0,1,FP,0,1,FP
981,1,1,TP,1,0,FN
982,0,1,FP,0,1,FP
983,0,0,TN,0,0,TN
984,1,1,TP,1,0,FN
985,1,0,FN,1,0,FN
986,1,1,TP,1,0,FN
987,1,1,TP,1,1,TP
988,1,0,FN,1,0,FN
989,1,1,TP,1,0,FN
990,1,1,TP,1,1,TP
991,1,1,TP,1,0,FN
992,0,1,FP,0,1,FP
993,1,1,TP,1,1,TP
994,0,1,FP,0,1,FP
995,1,1,TP,1,0,FN
996,1,1,TP,1,0,FN
997,1,1,TP,1,1,TP
998,0,0,TN,0,0,TN
999,1,0,FN,1,0,FN
1000,1,1,TP,1,0,FN
