Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
"Nagpapadala nga ako ng video sa kanya, titingnan ko kung ano ang magagawa ng show para umayos na ang sitwasyon niya.","Nagpapadala nga ako ng video sa kanya, titingnan ko kung ano ang magagawa ng show para umayos na ang sitwasyon niya.","Nagpapadala nga ako ng video sa kanya, titingnan ko kung ano ang magagawa ng show para umayos na ang sitwasyon niya.",[],{},TN,TN
Sinabi din ni Lopez na inaalam ng mga awtoridad ang iba pang posibleng kasabwat ng suspek.,Sinabi rin ni Lopez na inaalam ng mga awtoridad ang iba pang posibleng kasabwat ng suspek.,Sinabi rin ni lone na inaalam ng mga awtoridad ang iba pang posibleng kasabwat ng suspek.,['Lopez'],"{'Lopez': ['hope', 'leper', 'lone', 'lopoy', 'lose']}",TP,FN
At home na at home home si bagets sa kanyang mga nakakasamang bading sa trabaho.,At home na at home si bagets sa kanyang mga nakakasamang bading sa trabaho.,At home na at home home si bagets sa kanyang mga nakakasamang bading sa trabaho.,[],{},FN,FN
"Pero kung hindi, kailangan mong kunin ang tseke at dapat na mag-isyu ka ng resibo, bilang sa pagsunod rin sa ipinapatupad na patakaran ng gobyerno.","Pero kung hindi, kailangan mong kunin ang tseke at dapat na mag-isyu ka ng resibo, bilang sa pagsunod din sa ipinapatupad na patakaran ng gobyerno.","Pero kung hindi, kailangan mong kunin ang tseke at dapat na mag-isyu ka ng resibo, bilang sa pagsunod din sa ipinapatupad na patakaran ng gobyerno.",[],{},TP,TP
"Ng panahong iton, 30-anyos na si Dianne, at pumapasok na sa isip niya na bala walang balak si Rodjun na magpakasal.","Nang panahong iton, 30-anyos na si Dianne, at pumapasok na sa isip niya na bala walang balak si Rodjun na magpakasal.","Ng panahong inon, ag-anyos na si dante, at pumapasok na sa isip niya na bala walang balak si komun na magpakasal.","['iton', '30', 'Dianne', 'Rodjun']","{'iton': ['ibon', 'icon', 'inon', 'ipon', 'iron'], '30': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Dianne': ['dance', 'dange', 'dante', 'diana', 'dianang'], 'Rodjun': ['andun', 'dun', 'komun', 'modern', 'modus']}",TP,FN
Bakit parang ayaw pa yata nilang maniwala na si Annette Gozon-Valdes na ang hahawak ng Sparkle?,Bakit parang ayaw pa yata nilang maniwala na si Annette Gozon-Valdes na ang hahawak ng Sparkle?,Bakit parang ayaw pa yata nilang maniwala na si almete colon-aides na ang hahawak ng parole?,"['Annette', 'Gozon', 'Valdes', 'Sparkle']","{'Annette': ['annatto', 'ahente', 'almete', 'amnesty', 'andante'], 'Gozon': ['boton', 'cogon', 'colon', 'doon', 'galon'], 'Valdes': ['values', 'valves', 'aides', 'balde', 'bales'], 'Sparkle': ['sparkler', 'parke', 'parole', 'spare', 'spark']}",FP,FP
"Sa halip, red-tagging, union-busting, forced disaffiliation sa mga progresibong unyon at pag-aresto raw ang hinarap ng kanilang sektor.","Sa halip, red-tagging, union-busting, forced disaffiliation sa mga progresibong unyon at pag-aresto raw ang hinarap ng kanilang sektor.","Sa halip, red-tagging, union-busting, forced disaffiliation sa mga progresibong unyon at pag-aresto raw ang hinarap ng kanilang sektor.",[],{},TN,TN
Karamihan-diyan ay nanggaling sa mga sumusunod na lugar.,Karamihan diyan ay nanggaling sa mga sumusunod na lugar.,Karamihan-diyan ay nanggaling sa mga sumusunod na lugar.,[],{},FN,FN
"Dahil may nangyari pang nakawan sa barangay, humingi na ng tutulong ang mga residente sa mga awtoridad para madakip ang salarin.","Dahil may nangyari pang nakawan sa barangay, humingi na ng tulong ang mga residente sa mga awtoridad para madakip ang salarin.","Dahil may nangyari pang nakawan sa barangay, humingi na ng tutulong ang mga residente sa mga awtoridad para kalakip ang salarin.",['marakip'],"{'marakip': ['madakip', 'dadakip', 'kalakip', 'maaakit', 'maakit']}",TP,FN
"Hanggang sa nung nagsalita siya sa YouTube ay alipusta rin ang aabutin niya, kahit nagkausap na raw sila ng Nanay niya.","Hanggang sa nung nagsalita siya sa YouTube ay alipusta rin ang inabot niya, kahit nagkausap na raw sila ng Nanay niya.","Hanggang sa nung nagsalita siya sa YouTube ay alipusta rin ang aabutin niya, kahit nagkausap na raw sila ng Nanay niya.",[],{},FN,FN
Sana magsunod-sunod na din yung projects kasi gusto ko na rin ulit magtrabaho.,Sana magsunod-sunod na rin yung projects kasi gusto ko na rin ulit magtrabaho.,Sana magsuyod-sunod na rin yung projects kasi gusto ko na rin ulit magtrabaho.,['magsunod'],"{'magsunod': ['magsuno', 'magsunog', 'magsuyod', 'maisunod', 'masunod']}",TP,FN
Tampok sa âcommunity pantryâ nang Sangguniang Kabataan ng Barangay 583 ang mga cake at cupcake na ang mismong SK kagawad na si Mae Pascua ang nag-bake.,Tampok sa âcommunity pantryâ ng Sangguniang Kabataan ng Barangay 583 ang mga cake at cupcake na ang mismong SK kagawad na si Mae Pascua ang nag-bake.,Tampok sa dcommunity pantaya nang Sangguniang Kabataan ng Barangay aal ang mga cake at cake na ang mismong ik kagawad na si Mae pasala ang nag-bako.,"['â', 'pantryâ', '583', 'cupcake', 'SK', 'Pascua', 'bake']","{'â': ['b', 'c', 'd', 'e', 'f'], 'pantryâ': ['pantry', 'pantay', 'pantaya', 'pantayu', 'pantuya'], '583': ['p3', 'aag', 'aal', 'aam', 'aat'], 'cupcake': ['uptake', 'appcase', 'cake', 'curcas', 'empake'], 'SK': ['ak', 'ask', 'ik', 'k', 'ok'], 'Pascua': ['pasa', 'pasada', 'pasala', 'pasama', 'pasara'], 'bake': ['baka', 'baked', 'bako', 'baks', 'baku']}",TP,FN
Simula pa kagabi ay bugbog sarado na ang TV host-actress sa mga nakapanood ng viral video kung saan makikitang pinahiran niya ng chocolate cake sa mukha ang waiter sa kanyang harapan.,Simula pa kagabi ay bugbog-sarado na ang TV host-actress sa mga nakapanood ng viral video kung saan makikitang pinahiran niya ng chocolate cake sa mukha ang waiter sa kanyang harapan.,Simula pa kagabi ay bugbog sarado na ang TV host-actress sa mga nakapanood ng viral video kung saan makikitang pinahiran niya ng chocolate cake sa mukha ang waiter sa kanyang harapan.,[],{},FN,FN
Ipinakita ang video video na unang ini-upload sa social media na pinagsama-sama ng magkakaopisina ang kanilang mga ATM card.,Ipinakita ang video na unang ini-upload sa social media na pinagsama-sama ng magkakaopisina ang kanilang mga ATM card.,Ipinakita ang video video na unang ini-upload sa social media na pinagsama-sama ng magkakapisan ang kanilang mga arm card.,"['magkakaopisina', 'ATM']","{'magkakaopisina': ['magkakabisita', 'magkakapiing', 'magkakapisan', 'magkakapisang', 'magkakabisa'], 'ATM': ['aam', 'am', 'arm', 'at', 'ata']}",TP,FN
"Bagamat pumasa na sa ikatlo at huling pagdinig ng Kamara ang panukalang Bayanihan 3 ?? na planong magbigay ng P2,000 sa bawat Pilipino ma hirap man o mayaman ?? hindi pa rin gaano umuusad ang counterpart bill nito sa Senado.","Bagamat pumasa na sa ikatlo at huling pagdinig ng Kamara ang panukalang Bayanihan 3 ?? na planong magbigay ng P2,000 sa bawat Pilipino mahirap man o mayaman ?? hindi pa rin gaano umuusad ang counterpart bill nito sa Senado.","Bagamat pumasa na sa ikatlo at huling pagdinig ng Kamara ang panukalang Bayanihan 3 ?? na planong magbigay ng P2,000 sa bawat Pilipino mahirap man o mayaman ?? hindi pa rin gaano umuusad ang counterpart bill nito sa Senado.",[],{},TP,TP
"Isang linggo na raw hindi stable ang kanyang blood pressure, umiinom na nga siya ng maintenance medicines para doon, at sinabihan siya ng doctor na huwag magpapagod, iwasan ang mga usok, iwasan din ang stress at huwag na munang kakanta.","Isang linggo na raw hindi stable ang kanyang blood pressure, umiinom na nga siya ng maintenance medicines para doon, at sinabihan siya ng doctor na huwag magpapagod, iwasan ang mga usok, iwasan din ang stress at huwag na munang kakanta.","Isang linggo na raw hindi stable ang kanyang blood pressure, umiinom na nga siya ng maintenance medicines para doon, at sinabihan siya ng doctor na huwag magpapagod, iwasan ang mga usok, iwasan din ang stress at huwag na munang kakanta.",[],{},TN,TN
Agad-agad naman daw epektibo ang naturang kautusan.,Agad-agad naman daw epektibo ang naturang kautusan.,Agad-agad naman daw epektibo ang naturang kautusan.,[],{},TN,TN
Subalit aniya kung may parusang bitay tiyak magkakaroon ang mga ito ng takot o magdalawang-isip bago kagagawa ng karumaldumal na krimen.,Subalit aniya kung may parusang bitay tiyak magkakaroon ang mga ito ng takot o magdalawang-isip bago gumawa ng karumaldumal na krimen.,Subalit aniya kung may parusang bitay tiyak magkakaroon ang mga ito ng takot o magdalawang-isip bago kagagawa ng karumaldumal na krimen.,[],{},FN,FN
Mabigat ang problema sa transportasyon at araw-araw na pinagdadaanan nang ating commuters.,Mabigat ang problema sa transportasyon at araw-araw na pinagdadaanan ng ating commuters.,Mabigat ang problema sa transportasyon at araw-araw na pinagdadaanan nang ating commuters.,[],{},FN,FN
Kasama sa BTS bloc ang ilang dating lider ng Kamara sa pangunguna nina former Deputy Speakers Camarines Sur Cong.,Kasama sa BTS bloc ang ilang dating lider ng Kamara sa pangunguna nina former Deputy Speakers Camarines Sur Cong.,Kasama sa bus bloc ang ilang dating lider ng Kamara sa pangunguna nina former Deputy Speakers kamarin Sur cing.,"['BTS', 'Camarines', 'Cong']","{'BTS': ['bats', 'bets', 'bus', 'its', 'mts'], 'Camarines': ['marines', 'calories', 'kamarin', 'kamaring', 'magazines'], 'Cong': ['bong', 'cang', 'cing', 'con', 'cond']}",FP,FP
Ngunit patuloy pa rin itong biniberepika ng mga regional at lokal na health offices.,Ngunit patuloy pa rin itong biniberepika ng mga regional at lokal na health offices.,Ngunit patuloy pa rin itong biniberepika ng mga regional at lokal na health offices.,[],{},TN,TN
"Pero kailangan daw nilang kasuhan ang mga ito, kaya humingi na sila ng tulong sa Optical Media Board para tuluyan na raw nila itong kasuhan.","Pero kailangan daw nilang kasuhan ang mga ito, kaya humingi na sila ng tulong sa Optical Media Board para tuluyan na raw nila itong kasuhan.","Pero kailangan daw nilang kasuhan ang mga ito, kaya humingi na sila ng tulong sa Optical Media Board para tuluyan na raw nila itong kasuhan.",[],{},TN,TN
Akala nila baka daw magbukas ang mga sinehan dahil Pasko.,Akala nila baka raw magbukas ang mga sinehan dahil Pasko.,Akala nila baka raw magbukas ang mga sinehan dahil Pasko.,[],{},TP,TP
"Aniya, hindi naman showbiz ang senado at mas maigi kung ang sasabihin ni Herbert ay ang kanyang credentials lalo na at tatakbo siya sa darating na 2022 elections.","Aniya, hindi naman showbiz ang senado at mas maigi kung ang sasabihin ni Herbert ay ang kanyang credentials lalo na at tatakbo siya sa darating na 2022 elections.","Aniya, hindi naman showbiz ang senado at mas maigi kung ang sasabihin ni bebero ay ang kanyang credentials lalo na at tatakbo siya sa darating na aag elections.","['Herbert', '2022']","{'Herbert': ['barber', 'barbero', 'bebero', 'belbet', 'beriberi'], '2022': ['p25', 'aaba', 'aag', 'aako', 'aal']}",FP,FP
Kung habulin pa daw siya ng mga pulis sa susunod ay tumakbo lamang daw ito sa kanila.,Kung habulin pa raw siya ng mga pulis sa susunod ay tumakbo lamang daw ito sa kanila.,Kung habulin pa raw siya ng mga pulis sa susunod ay tumakbo lamang daw ito sa kanila.,[],{},TP,TP
"Nabatid na si Itaas ay nakapag-asawa habang nakapiit sa New Bilibid Prison (NBP) at nagkaroon ng 3 anak, isang lumaki at dalawang babae.","Nabatid na si Itaas ay nakapag-asawa habang nakapiit sa New Bilibid Prison (NBP) at nagkaroon ng 3 anak, isang lalaki at dalawang babae.","Nabatid na si Itaas ay nakapag-asawa habang nakapiit sa New Bilibid Prison (aba) at nagkaroon ng d anak, isang lumaki at dalawang babae.","['NBP', '3']","{'NBP': ['nbg', 'ab', 'aba', 'abf', 'abo'], '3': ['b', 'c', 'd', 'e', 'f']}",TP,FN
"Kaya minsan dapat ipinagpapasalamat rin natin ang ating nakaraan para makita natin ang ating kasalukuyan, dagdag pa ng talent manager.","Kaya minsan dapat ipinagpapasalamat din natin ang ating nakaraan para makita natin ang ating kasalukuyan, dagdag pa ng talent manager.","Kaya minsan dapat ipinagpapasalamat din natin ang ating nakaraan para makita natin ang ating kasalukuyan, dagdag pa ng talent manager.",[],{},TP,TP
Giit nang DepEd na ang maaaring gawin dito ay kung papayag ang mga hindi gaanong loaded na guro na ilipat sa ibang paaralan upang makatulong sa may tambak na estudyanteng guro.,Giit ng DepEd na ang maaaring gawin dito ay kung papayag ang mga hindi gaanong loaded na guro na ilipat sa ibang paaralan upang makatulong sa may tambak na estudyanteng guro.,Giit nang DepEd na ang maaaring gawin dito ay kung papayag ang mga hindi gaanong loaded na guro na ilipat sa ibang paaralan upang makatulong sa may tambak na estudyanteng guro.,[],{},FN,FN
Maraming sinehan ang hindi nagbukas kahapon.,Maraming sinehan ang hindi nagbukas kahapon.,Maraming sinehan ang hindi nagbukas kahapon.,[],{},TN,TN
Ano-ano nga ba ang mga hayop na nasa zoo at papaano makatutulong sa kanila?,Ano-ano nga ba ang mga hayop na nasa zoo at papaano makatutulong sa kanila?,Ano-ano nga ba ang mga hayop na nasa zoo at papaano makatutulong sa kanila?,[],{},TN,TN
Yung sasabihin ni Papa Digong na merong candidate na drug user bakit hindi niya ipahuli kung totoo.,Yung sinasabi ni Papa Digong na merong candidate na drug user bakit hindi niya ipahuli kung totoo.,Yung sasabihin ni Papa Digong na merong candidate na drug user bakit hindi niya ipahuli kung totoo.,[],{},FN,FN
"Sabado ng gabi nang arestuhin ng PNP si Cuenca, 33-anyos, matapos salpukin at takbuhan ng kanyang SUV ang sasakyan ng pulisiyang ginagamit sa isang anti-illegal drug operation sa Mandaluyong City.","Sabado ng gabi nang arestuhin ng PNP si Cuenca, 33-anyos, matapos salpukin at takbuhan ng kanyang SUV ang sasakyan ng pulisiyang ginagamit sa isang anti-illegal drug operation sa Mandaluyong City.","Sabado ng gabi nang arestuhin ng pdp si agenda, ad-anyos, matapos salpukin at takbuhan ng kanyang sum ang sasakyan ng pulisiyang ginagamit sa isang anti-illegal drug operation sa pandaluhong City.","['PNP', 'Cuenca', '33', 'SUV', 'Mandaluyong']","{'PNP': ['lpnp', 'pap', 'pdp', 'pep', 'png'], 'Cuenca': ['buena', 'agency', 'agenda', 'ahency', 'arena'], '33': ['p3', 'ab', 'ad', 'ag', 'ah'], 'SUV': ['su', 'sub', 'sum', 'sun', 'sur'], 'Mandaluyong': ['mandaluhong', 'nandaluhong', 'pandaluhong', 'andamyong', 'dadaluhong']}",FP,FP
"Ang mga bakuna ay nakalaan para sana sa mga senior citizens nang Makilala, Cotabato.","Ang mga bakuna ay nakalaan para sana sa mga senior citizens ng Makilala, Cotabato.","Ang mga bakuna ay nakalaan para sana sa mga senior citizens nang Makilala, Cotabato.",[],{},FN,FN
Hindi pa din inirerekomenda ng OCTA Research Group ang paggamit ng face shields sa kabila nang namonitor na bahagyang pagtaas sa positivity rate ng COVID sa National Capital Region (NCR) at banta ng Omicron variant.,Hindi pa rin inirerekomenda ng OCTA Research Group ang paggamit ng face shields sa kabila nang namonitor na bahagyang pagtaas sa positivity rate ng COVID sa National Capital Region (NCR) at banta ng Omicron variant.,Hindi pa rin inirerekomenda ng OCTA Research Group ang paggamit ng face shields sa kabila nang namonitor na bahagyang pagtaas sa positivity rate ng COVID sa National Capital Region (NCR) at banta ng Omicron variant.,[],{},TP,TP
"Sa 18-pahinang desisyon, sinuspinde ng mataas na korte si Manila Metropolitan Trial Court Branch 26 Presiding Judge Jorge Emmanuel Lorredo ng 30 araw ng walang suweldo ng matagpuang guilty sa âsexual harassmentâ.","Sa 18-pahinang desisyon, sinuspinde ng mataas na korte si Manila Metropolitan Trial Court Branch 26 Presiding Judge Jorge Emmanuel Lorredo ng 30 araw ng walang suweldo nang matagpuang guilty sa âsexual harassmentâ.","Sa ag-pahinang desisyon, sinuspinde ng mataas na korte si Manila Metropolitan Trial Court Branch ag Presiding Judge borne ammended barred ng ag araw ng walang suweldo ng matagpuang guilty sa dsexual harrassment.","['18', '26', 'Jorge', 'Emmanuel', 'Lorredo', '30', 'â', 'harassmentâ']","{'18': ['ab', 'ad', 'ag', 'ah', 'ak'], '26': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Jorge': ['morge', 'barge', 'borne', 'core', 'dorga'], 'Emmanuel': ['mantel', 'manual', 'ammended', 'arancel', 'aransel'], 'Lorredo': ['robredo', 'torpedo', 'barred', 'borned', 'corned'], '30': ['ab', 'ad', 'ag', 'ah', 'ak'], 'â': ['b', 'c', 'd', 'e', 'f'], 'harassmentâ': ['harassment', 'harassments', 'harrassment', 'harrasment', 'huramento']}",TP,FN
"Pero gusto niyang makapagtrabaho pa rito, at sana makagawa raw siya ng pelikula.","Pero gusto niyang makapagtrabaho pa rito, at sana makagawa raw siya ng pelikula.","Pero gusto niyang makapagtrabaho pa rito, at sana makagawa raw siya ng pelikula.",[],{},TN,TN
"Pahayag ni Dulce, natukso lang raw siya dahil sa hirap ng buhay.","Pahayag ni Dulce, natukso lang daw siya dahil sa hirap ng buhay.","Pahayag ni dale, natukso lang daw siya dahil sa hirap ng buhay.",['Dulce'],"{'Dulce': ['dulse', 'bule', 'dale', 'dance', 'dole']}",TP,FN
Sasampahayan umano ng pulisya ng kaukulang reklamo ang organizer ng event at ang may-ari ng motorsiklong sangkot sa insidente.,Sasampahayan umano ng pulisya ng kaukulang reklamo ang organizer ng event at ang may-ari ng motorsiklong sangkot sa insidente.,nasampahan umano ng pulisya ng kaukulang reklamo ang organizer ng event at ang may-ari ng motorsiklong sangkot sa insidente.,['Sasampahayan'],"{'Sasampahayan': ['sasampahan', 'masampahan', 'nasampahan', 'papamahayan', 'sambahayan']}",FP,FP
"Hindi gaya ng iba na naghahabol pa din ng trabaho, na hindi pa rin matatag ang kinalalagyan at tuloy ang pakikipagsapalaran.","Hindi gaya ng iba na naghahabol pa rin ng trabaho, na hindi pa rin matatag ang kinalalagyan at tuloy ang pakikipagsapalaran.","Hindi gaya ng iba na naghahabol pa rin ng trabaho, na hindi pa rin matatag ang kinalalagyan at tuloy ang pakikipagsapalaran.",[],{},TP,TP
"Sa ulat, dakong alas -7:00 ng umaga ng Mayo 29, 2022 nang-maganap ang insidente sa Corpuz St.","Sa ulat, dakong alas -7:00 ng umaga ng Mayo 29, 2022 nang maganap ang insidente sa Corpuz St.","Sa ulat, dakong alas -d:ag ng umaga ng Mayo ag, aag nang-maganap ang insidente sa cruz St.","['7', '00', '29', '2022', 'Corpuz']","{'7': ['b', 'c', 'd', 'e', 'f'], '00': ['ab', 'ad', 'ag', 'ah', 'ak'], '29': ['ab', 'ad', 'ag', 'ah', 'ak'], '2022': ['p25', 'aaba', 'aag', 'aako', 'aal'], 'Corpuz': ['corpus', 'corps', 'cruz', 'campus', 'carpet']}",TP,FN
"Nagawa ito ng Lady Bulldogs matapos ilampaso ang De La Salle University, 25-23, 25-20, 25-20, sa finals noong Sabado sa Rizal Memorial Coliseum.","Nagawa ito ng Lady Bulldogs matapos ilampaso ang De La Salle University, 25-23, 25-20, 25-20, sa finals noong Sabado sa Rizal Memorial Coliseum.","Nagawa ito ng Lady billings matapos nilampaso ang De La salfe University, ad-ad, ad-ag, ad-ag, sa finals noong Sabado sa bital Memorial koliseo.","['Bulldogs', 'ilampaso', 'Salle', '25', '23', '25', '20', '25', '20', 'Rizal', 'Coliseum']","{'Bulldogs': ['buldog', 'ballots', 'billings', 'billions', 'blogs'], 'ilampaso': ['ilampas', 'lampaso', 'nilampaso', 'lalampaso', 'lampas'], 'Salle': ['sable', 'sale', 'salfe', 'able', 'ale'], '25': ['p25', 'ab', 'ad', 'ag', 'ah'], '23': ['p3', 'ab', 'ad', 'ag', 'ah'], '20': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Rizal': ['ribal', 'arial', 'bital', 'cial', 'dial'], 'Coliseum': ['coliform', 'colorum', 'koliseo', 'bolista', 'bolyum']}",FP,FP
"Gayunman, walang sumasagot sa mga-tawag at katok ang mag-asawa kaya kumuha na ng duplicate key si Clint at binuksan ang naka-locked na pinto ng bahay.","Gayunman, walang sumasagot sa mga tawag at katok ang mag-asawa kaya kumuha na ng duplicate key si Clint at binuksan ang naka-locked na pinto ng bahay.","Gayunman, walang sumasagot sa mga-tawag at katok ang mag-asawa kaya kumuha na ng duplicate key si alin at binuksan ang naka-locked na pinto ng bahay.",['Clint'],"{'Clint': ['client', 'cling', 'alin', 'aling', 'alit']}",TP,FN
Natanong din ito kung nakakaramdam daw ba ito ng pressure bilang anak ng music royalty na itinanggi nito dahil mahal daw nito ang musika at enjoy ito sa pag-perform.,Natanong din ito kung nakakaramdam daw ba ito ng pressure bilang anak ng music royalty na itinanggi nito dahil mahal daw nito ang musika at enjoy ito sa pag-perform.,Natanong din ito kung nakakaramdam daw ba ito ng pressure bilang anak ng music royalty na itinanggi nito dahil mahal daw nito ang musika at enjoy ito sa pag-perform.,[],{},TN,TN
"Si Ni?ño ay ilang beses ko nang nakikita kapag nagpupunta ako sa Los Angeles, pero si Krista, after ilang years ay nakita ko uli.","Si Ni?ño ay ilang beses ko nang nakikita kapag nagpupunta ako sa Los Angeles, pero si Krista, after ilang years ay nakita ko uli.","Si Ni?co ay ilang beses ko nang nakikita kapag nagpupunta ako sa Los ages, pero si arisga, after ilang years ay nakita ko uli.","['ño', 'Angeles', 'Krista']","{'ño': ['ao', 'bo', 'co', 'do', 'go'], 'Angeles': ['agecies', 'agents', 'ages', 'amperes', 'anakle'], 'Krista': ['korista', 'kristal', 'arisga', 'artista', 'bista']}",FP,FP
Bagamat malayo pa ang araw eleksyon ngayon pa lang ay nagsimula nang mag-ikot sa kanilang nasasakupan ang pamilyang ito.,Bagamat malayo pa ang araw eleksyon ngayon pa lang ay nagsimula nang mag-ikot sa kanilang nasasakupan ang pamilyang ito.,Bagamat malayo pa ang araw eleksyon ngayon pa lang ay nagsimula nang mag-ikot sa kanilang nasasakupan ang pamilyang ito.,[],{},TN,TN
Una ng nagbabala ang World Health Organization (WHO) tungkol sa XBB.1.5.,Una nang nagbabala ang World Health Organization (WHO) tungkol sa XBB.1.5.,Una ng nagbabala ang World Health Organization (WHO) tungkol sa abf.d.d.,"['XBB', '1', '5']","{'XBB': ['ab', 'aba', 'abf', 'abo', 'b'], '1': ['b', 'c', 'd', 'e', 'f'], '5': ['b', 'c', 'd', 'e', 'f']}",TP,FN
Pero bakit nga ba may mga baby na katulad ni Mark na isinisilang na na ubod nang laki?,Pero bakit nga ba may mga baby na katulad ni Mark na isinisilang na ubod nang laki?,Pero bakit nga ba may mga baby na katulad ni Mark na isinisilang na na ubod nang laki?,[],{},FN,FN
Naka-heightened alert na ngayon ang lahat nang unit ng Philipine National Police (PNP) upang masiguro ang seguridad ngayong Holy Week.,Naka-heightened alert na ngayon ang lahat ng unit ng Philipine National Police (PNP) upang masiguro ang seguridad ngayong Holy Week.,Naka-heightened alert na ngayon ang lahat nang unit ng pilipino National Police (pdp) upang masiguro ang seguridad ngayong Holy Week.,"['Philipine', 'PNP']","{'Philipine': ['philippine', 'philippines', 'pilipino', 'afilipino', 'filipino'], 'PNP': ['lpnp', 'pap', 'pdp', 'pep', 'png']}",TP,FN
"Grams at aabot sa P1,022,380 ang halaga nito.","Grams at aabot sa P1,022,380 ang halaga nito.","Grams at aabot sa pa,aal,aam ang halaga nito.","['P1', '022', '380']","{'P1': ['p', 'p3', 'pa', 'pg', 'ph'], '022': ['p25', 'aag', 'aal', 'aam', 'aat'], '380': ['aag', 'aal', 'aam', 'aat', 'aaw']}",FP,FP
"Actually hanggang ngayon sobrang alarmed pa rin ako na baka hindi siya bumalik kasi hanggang ngayon hindi pa rin okay, mahina pandinig ko.","Actually hanggang ngayon sobrang alarmed pa rin ako na baka hindi siya bumalik kasi hanggang ngayon hindi pa rin okay, mahina 'yung pandinig ko.","Actually hanggang ngayon sobrang alarmed pa rin ako na baka hindi siya bumalik kasi hanggang ngayon hindi pa rin okay, mahina pandinig ko.",[],{},FN,FN
"Kundi nga lang daw may baby siya na six-month old pa lang, pupunta din daw siya sa Baguio para magbakasyon sila ng kanyang mister dahil nagustuhan niya ang hitsura ng lugar na yon nang mapanood niya sa pelikula.","Kundi nga lang daw may baby siya na six-month old pa lang, pupunta rin daw siya sa Baguio para magbakasyon sila ng kanyang mister dahil nagustuhan niya ang hitsura ng lugar na yon nang mapanood niya sa pelikula.","Kundi nga lang daw may baby siya na six-month old pa lang, pupunta rin daw siya sa Baguio para magbakasyon sila ng kanyang mister dahil nagustuhan niya ang hitsura ng lugar na yon nang mapanood niya sa pelikula.",[],{},TP,TP
Nagsumite si Cris Nievarez ng tiyempong pitong-minuto at 21.28.,Nagsumite si Cris Nievarez ng tiyempong pitong minuto at 21.28.,Nagsumite si kris cleared ng tiyempong pitong-minuto at ag.ag.,"['Cris', 'Nievarez', '21', '28']","{'Cris': ['gris', 'iris', 'kris', 'acres', 'alis'], 'Nievarez': ['avegare', 'bearer', 'cleared', 'clearer', 'diarea'], '21': ['ab', 'ad', 'ag', 'ah', 'ak'], '28': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"Bagaman batid daw niya na may multo sa gusali, hindi naman daw karaniwang nanakit ang mga ito.","Bagaman batid daw niya na may multo sa gusali, hindi naman daw karaniwang nanakit ang mga ito.","Bagaman batid daw niya na may multo sa gusali, hindi naman daw karaniwang nanakit ang mga ito.",[],{},TN,TN
Mayroon din daw siyang dalawang anak.,Mayroon din daw siyang dalawang anak.,Mayroon din daw siyang dalawang anak.,[],{},TN,TN
Nakakuha ng kopya ng CCTV footage ang dalaga at agad itong nag-viral ilang sandali lang matapos niya itong i-post sa kanyang Facebook wall.,Nakakuha ng kopya ng CCTV footage ang dalaga at agad itong nag-viral ilang sandali lang matapos niya itong i-post sa kanyang Facebook wall.,Nakakuha ng kopya ng CCTV footage ang dalaga at agad itong nag-viral ilang sandali lang matapos niya itong i-post sa kanyang Facebook wall.,[],{},TN,TN
"Sa Bongabon, alas-8:50 ng gabi ng Huwebes ay nanonood lang sa mga nagpapaputok sa loob ng kanilang bahay ang 8-anyos nang bigla umanong lumabas at pinulot ang isang hindi pumutok na kwitis saka inilagay sa isang bote ng softdrink.","Sa Bongabon, alas-8:50 ng gabi ng Huwebes ay nanonood lang sa mga nagpapaputok sa loob ng kanilang bahay ang 8-anyos nang bigla umanong lumabas at pinulot ang isang hindi pumutok na kwitis saka inilagay sa isang bote ng softdrink.","Sa bangalin, alas-d:ag ng gabi ng Huwebes ay nanonood lang sa mga nagpapaputok sa loob ng kanilang bahay ang d-anyos nang bigla umanong lumabas at pinulot ang isang hindi pumutok na kwitis saka inilagay sa isang bote ng doktorin.","['Bongabon', '8', '50', '8', 'softdrink']","{'Bongabon': ['bongbong', 'bangalan', 'bangalin', 'bangan', 'banganan'], '8': ['b', 'c', 'd', 'e', 'f'], '50': ['ab', 'ad', 'ag', 'ah', 'ak'], 'softdrink': ['softdrinks', 'doctrine', 'doktorin', 'doktoring', 'doktrina']}",FP,FP
"Nakasakay din si Ligas at iba pang volunteers sa at pagkatapos, nilibre ni Diokno ang mga volunteer ng hapunan, kung saan kasama sa kanilang kinain ang mga specialty ng Cebu gaya ng lechon at tuslob buwa.","Nakasakay rin si Ligas at iba pang volunteers sa at pagkatapos, nilibre ni Diokno ang mga volunteer ng hapunan, kung saan kasama sa kanilang kinain ang mga specialty ng Cebu gaya ng lechon at tuslob buwa.","Nakasakay rin si Ligas at iba pang volunteers sa at pagkatapos, nilibre ni Diokno ang mga volunteer ng hapunan, kung saan kasama sa kanilang kinain ang mga specialty ng Cebu gaya ng lechon at tuslob buwa.",[],{},TP,TP
