Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
"Base sa mga witness natin, hindi naman nila totally nakita.","Base sa mga witness natin, hindi naman nila totally nakita.","Base sa mga witness natin, hindi naman nila totally nakita.",[],{}
"Aalamin din umano ng senador kung ilang ambulansiya ang nabili ng DOH na ipimahagi sa LGU, at maging ang imbestigasyon sa mga ??expired medicine?? at ??overstocking?? na umabot sa halagang P2.7.","Aalamin din umano ng senador kung ilang ambulansiya ang nabili ng DOH na ipimahagi sa LGU, at maging ang imbestigasyon sa mga ??expired medicine?? at ??overstocking?? na umabot sa halagang P2.7.","Aalamin din umano ng senador kung ilang ambulansiya ang nabili ng DOH na ipinamahagi sa aga, at maging ang imbestigasyon sa mga ??expired medicine?? at ??overcrowding?? na umabot sa halagang p3.d.","['ipimahagi', 'LGU', 'overstocking', 'P2', '7']","{'ipimahagi': ['ipamahagi', 'ibinahagi', 'ipinamahagi', 'pamahagi', 'binahagi'], 'LGU': ['lgus', 'ag', 'aga', 'age', 'ago'], 'overstocking': ['overstaying', 'overarching', 'overcrowding', 'overloading', 'overpricing'], 'P2': ['p', 'p25', 'p3', 'pa', 'pg'], '7': ['b', 'c', 'd', 'e', 'f']}"
"Isinagawa ang operasyon sa isang bahay sa Purok 2, Dalahican, Lucena City sa lalawigan ng Quezon, kung saan naaresto ang suspek na kinilalang si Tess Ando.","Isinagawa ang operasyon sa isang bahay sa Purok 2, Dalahican, Lucena City sa lalawigan ng Quezon, kung saan naaresto ang suspek na kinilalang si Tess Ando.","Isinagawa ang operasyon sa isang bahay sa Purok d, dalahikang, Lucena City sa lalawigan ng Quezon, kung saan naaresto ang suspek na kinilalang si tens andy.","['2', 'Dalahican', 'Tess', 'Ando']","{'2': ['b', 'c', 'd', 'e', 'f'], 'Dalahican': ['dalahikan', 'dalahan', 'dalahikang', 'dalahikin', 'dalahin'], 'Tess': ['less', 'mess', 'tens', 'ters', 'tes'], 'Ando': ['and', 'andon', 'andy', 'ango', 'ano']}"
"Saka nakakaloka na parang lahat ng winners nag-tie, dala-dalawa ang mga winner sa mga major category.","Saka nakakaloka na parang lahat ng winners nag-tie, dala-dalawa ang mga winner sa mga major category.","Saka nakakalakad na parang lahat ng winners nag-tie, dala-dalawa ang mga winner sa mga major category.",['nakakaloka'],"{'nakakaloka': ['nakakaloko', 'makakaloko', 'nakakalakad', 'nakakalaki', 'nakakalala']}"
"Paliwanag ng ichthyologist na si Kent Sorgon ng Institute of Biological Sciences sa University of the Philippines Los Ba?ños, hindi native sa Pilipinas ang janitor fish at mabilis itong dumami dahil walang ibang isda na kumakain dito.","Paliwanag ng ichthyologist na si Kent Sorgon ng Institute of Biological Sciences sa University of the Philippines Los Ba?ños, hindi native sa Pilipinas ang janitor fish at mabilis itong dumami dahil walang ibang isda na kumakain dito.","Paliwanag ng archeologist na si Kent morkon ng Institute of Biological Sciences sa University of the Philippines Los Ba?gos, hindi native sa Pilipinas ang janitor fish at mabilis itong dumami dahil walang ibang isda na kumakain dito.","['ichthyologist', 'Sorgon', 'ños']","{'ichthyologist': ['ichthyosis', 'pathologist', 'archeologist', 'cardiologist', 'hydrologist'], 'Sorgon': ['cogon', 'kordon', 'morkon', 'organ', 'purgon'], 'ños': ['cos', 'dos', 'gos', 'los', 'os']}"
"Base sa imbestigasyon, dakong alas-8:10 ng gabi nang pasukin ng mga suspect ang bodega ng J& T Express na matatagpuan sa Industry Road 1, Brgy.","Base sa imbestigasyon, dakong alas-8:10 ng gabi nang pasukin ng mga suspect ang bodega ng J& T Express na matatagpuan sa Industry Road 1, Brgy.","Base sa imbestigasyon, dakong alas-d:ag ng gabi nang pasukin ng mga suspect ang bodega ng J& T Express na matatagpuan sa Industry Road d, Brgy.","['8', '10', '1']","{'8': ['b', 'c', 'd', 'e', 'f'], '10': ['ab', 'ad', 'ag', 'ah', 'ak'], '1': ['b', 'c', 'd', 'e', 'f']}"
"Datu ODIN SINSUAT, Maguindanao, Philippines ?? Dalawang lalaki na responsable umano sa serye ng holdapan sa mga residente ang napatay ng mga awtoridad, isang oras makaraang mangholdap ng isa pang guwardya sa Brgy.","Datu ODIN SINSUAT, Maguindanao, Philippines ?? Dalawang lalaki na responsable umano sa serye ng holdapan sa mga residente ang napatay ng mga awtoridad, isang oras makaraang mangholdap ng isa pang guwardya sa Brgy.","Datu adik sinalat, Maguindanao, Philippines ?? Dalawang lalaki na responsable umano sa serye ng holdapan sa mga residente ang napatay ng mga awtoridad, isang oras makaraang mangholdap ng isa pang guwardya sa Brgy.","['ODIN', 'SINSUAT']","{'ODIN': ['din', 'odit', 'adik', 'admin', 'ahin'], 'SINSUAT': ['insult', 'sinabat', 'sinalat', 'sinapat', 'sinat']}"
Pero nakita sila ng isang sepulturero na nag-alok na sa bakanteng nitso na lang ilagay ang sanggol.,Pero nakita sila ng isang sepulturero na nag-alok na sa bakanteng nitso na lang ilagay ang sanggol.,Pero nakita sila ng isang abenturero na nag-alok na sa bakanteng nitso na lang ilagay ang sanggol.,['sepulturero'],"{'sepulturero': ['kusturero', 'sultero', 'abenturero', 'culture', 'cultures']}"
"Aasahan naman ang mas exciting pa na kuwento, lalo ang love triangle na mangyayari sa kanilang mga karakter na sina Irene, Richard at Nestor.","Aasahan naman ang mas exciting pa na kuwento, lalo ang love triangle na mangyayari sa kanilang mga karakter na sina Irene, Richard at Nestor.","Aasahan naman ang mas exciting pa na kuwento, lalo ang love triangle na mangyayari sa kanilang mga karakter na sina arena, Richard at hector.","['Irene', 'Nestor']","{'Irene': ['ireng', 'rene', 'arena', 'birete', 'crane'], 'Nestor': ['bettor', 'esctor', 'hector', 'investor', 'jester']}"
"Gusto rin niyang siguraduhing maayos ang transition patungo sa susunod na administrasyon ng kung sino man ang pipiliin ng taumbayan sa halalan, dagdag nito.","Gusto rin niyang siguraduhing maayos ang transition patungo sa susunod na administrasyon ng kung sino man ang pipiliin ng taumbayan sa halalan, dagdag nito.","Gusto rin niyang siguraduhing maayos ang transition patungo sa susunod na administrasyon ng kung sino man ang pipiliin ng taumbayan sa halalan, dagdag nito.",[],{}
"Kung lumapit ka sa ahensya ng gobyerno at hindi ka pinansin o pinag-antay o pinababalik-balik kayo, magsumbong kayo sa amin at kami ang tutulong sa inyo, aniya.","Kung lumapit ka sa ahensya ng gobyerno at hindi ka pinansin o pinag-antay o pinababalik-balik kayo, magsumbong kayo sa amin at kami ang tutulong sa inyo, aniya.","Kung lumapit ka sa ahensya ng gobyerno at hindi ka pinansin o pinag-antay o pinababalik-balik kayo, magsumbong kayo sa amin at kami ang tutulong sa inyo, aniya.",[],{}
"Itoy bilang tugon nila sa paglalagay muli ng pamahalaan sa enhanced community quarantine (ECQ) ang Metro Manila at mga karatig na lalawigan simula ngayong araw, Marso 29, hanggang Abril 4, Linggo, bunsod na rin nang patuloy na paglobo ng mga naitatalang kaso ng COVID-19 sa mga naturang lugar.","Itoy bilang tugon nila sa paglalagay muli ng pamahalaan sa enhanced community quarantine (ECQ) ang Metro Manila at mga karatig na lalawigan simula ngayong araw, Marso 29, hanggang Abril 4, Linggo, bunsod na rin nang patuloy na paglobo ng mga naitatalang kaso ng COVID-19 sa mga naturang lugar.","Itoy bilang tugon nila sa paglalagay muli ng pamahalaan sa enhanced community quarantine (ECQ) ang Metro Manila at mga karatig na lalawigan simula ngayong araw, Marso ag, hanggang Abril d, Linggo, bunsod na rin nang patuloy na paglobo ng mga naitatalang kaso ng COVID-ag sa mga naturang lugar.","['29', '4', '19']","{'29': ['ab', 'ad', 'ag', 'ah', 'ak'], '4': ['b', 'c', 'd', 'e', 'f'], '19': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"Iyon bang para bang at this point in time, you expect the worst lagi, kaya pag sinabing namatay si ganito, parang tanggap mo na agad, hindi mo na itatanong kung bakit, para bang dahil pandemic kaya namatay.","Iyon bang para bang at this point in time, you expect the worst lagi, kaya pag sinabing namatay si ganito, parang tanggap mo na agad, hindi mo na itatanong kung bakit, para bang dahil pandemic kaya namatay.","Iyon bang para bang at this point in time, you expect the worst lagi, kaya pag sinabing namatay si ganito, parang tanggap mo na agad, hindi mo na itatanong kung bakit, para bang dahil pandemic kaya namatay.",[],{}
Nagpagewang-gewang umano ang takbo ng armored van hanggang sa kainin nito ang kabilang linya ng kalye at tinumbok na banggain ang kasalubong na Candelaria town bound na motorsiklong kinalululanan ng mga biktima.,Nagpagewang-gewang umano ang takbo ng armored van hanggang sa kainin nito ang kabilang linya ng kalye at tinumbok na banggain ang kasalubong na Candelaria town bound na motorsiklong kinalululanan ng mga biktima.,Nagpagewang-gewang umano ang takbo ng armored van hanggang sa kainin nito ang kabilang linya ng kalye at tinumbok na banggain ang kasalubong na Candelaria town bound na motorsiklong kinalululanan ng mga biktima.,[],{}
Tinanggal niya ang plastic nito at ibinalik ang pakete sa kaniyang bra.,Tinanggal niya ang plastic nito at ibinalik ang pakete sa kaniyang bra.,Tinanggal niya ang plastic nito at ibinalik ang pakete sa kaniyang bra.,[],{}
"Tungkol naman sa usaping kasalan, wala pa raw silang plano in the near future pero inamin nilang gusto rin nilang magka-baby.","Tungkol naman sa usaping kasalan, wala pa raw silang plano in the near future pero inamin nilang gusto rin nilang magka-baby.","Tungkol naman sa usaping kasalan, wala pa raw silang plano in the near future pero inamin nilang gusto rin nilang magka-baby.",[],{}
Fake news na from the start ang nasabing chika na nagkaroon ulit sila ng ugnayan ng mister ni Angel Locsin kaya raw nagmadaling makipaghiwalay si Maxene sa dating mister.,Fake news na from the start ang nasabing chika na nagkaroon ulit sila ng ugnayan ng mister ni Angel Locsin kaya raw nagmadaling makipaghiwalay si Maxene sa dating mister.,Fake news na from the start ang nasabing chika na nagkaroon ulit sila ng ugnayan ng mister ni anghel login kaya raw nagmadaling makipaghiwalay si mapeke sa dating mister.,"['Angel', 'Locsin', 'Maxene']","{'Angel': ['angal', 'anger', 'anghel', 'angil', 'aangal'], 'Locsin': ['cousin', 'labsin', 'login', 'loobin', 'toksin'], 'Maxene': ['maiere', 'mameke', 'mapeke', 'marine', 'aamen']}"
"Ayon kay Police Lieutenant Colonel Ramon Czar Solas, hepe ng Santa Cruz Police Station, nagtatrabaho sa isang computer shop ang suspek at nakadispalko ng pera kaya nagawa nito ang krimen.","Ayon kay Police Lieutenant Colonel Ramon Czar Solas, hepe ng Santa Cruz Police Station, nagtatrabaho sa isang computer shop ang suspek at nakadispalko ng pera kaya nagawa nito ang krimen.","Ayon kay Police Lieutenant Colonel mamon Czar solar, hepe ng Santa Cruz Police Station, nagtatrabaho sa isang computer shop ang suspek at nakakapasko ng pera kaya nagawa nito ang krimen.","['Ramon', 'Solas', 'nakarispalko']","{'Ramon': ['hamon', 'lamon', 'mamon', 'ramen', 'ramo'], 'Solas': ['lolas', 'salas', 'solar', 'solus', 'sopas'], 'nakarispalko': ['nakadispalko', 'nakahibalo', 'nakakapasko', 'nakakasalo', 'nakapako']}"
Umabot na sa 300 tauhan ng Department of Health (DOH) ang nagpositibo sa COVID-19 habang nasa 400 naman ang sumasailalim sa ??quarantine?? dahilan para bumaba ang kapasidad sa paggawa ng ahensya.,Umabot na sa 300 tauhan ng Department of Health (DOH) ang nagpositibo sa COVID-19 habang nasa 400 naman ang sumasailalim sa ??quarantine?? dahilan para bumaba ang kapasidad sa paggawa ng ahensya.,Umabot na sa aam tauhan ng Department of Health (DOH) ang nagpositibo sa COVID-ag habang nasa aam naman ang sumasailalim sa ??quarantine?? dahilan para bumaba ang kapasidad sa paggawa ng ahensya.,"['300', '19', '400']","{'300': ['aag', 'aal', 'aam', 'aat', 'aaw'], '19': ['ab', 'ad', 'ag', 'ah', 'ak'], '400': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
Pero natakot daw talaga siya dahil na-exposed nga siya sa taong nag-positive sa nasabing virus.,Pero natakot daw talaga siya dahil na-exposed nga siya sa taong nag-positive sa nasabing virus.,Pero natakot daw talaga siya dahil na-exposed nga siya sa taong nag-positive sa nasabing virus.,[],{}
"At least, sa pagkawala niya sa Urduja, makakapag-promote na nang todo si Gabbi sa Unbreak my Heart. May mga nagtatanong din pala kung magpo-promote siya sa shows ng ABS-CBN at kung magpo-promote sina Jodi Sta.","At least, sa pagkawala niya sa Urduja, makakapag-promote na nang todo si Gabbi sa Unbreak my Heart. May mga nagtatanong din pala kung magpo-promote siya sa shows ng ABS-CBN at kung magpo-promote sina Jodi Sta.","At least, sa pagkawala niya sa bruha, makakapag-promote na nang todo si gambi sa bread my Heart. May mga nagtatanong din pala kung magpo-promote siya sa shows ng abf-ab at kung magpo-promote sina body eta.","['Urduja', 'Gabbi', 'Unbreak', 'ABS', 'CBN', 'Jodi', 'Sta']","{'Urduja': ['anduka', 'aruga', 'bruha', 'burda', 'buruha'], 'Gabbi': ['gabi', 'galbi', 'gambi', 'rabbi', 'ambi'], 'Unbreak': ['break', 'outbreak', 'bread', 'breaks', 'breat'], 'ABS': ['ab', 'aba', 'abf', 'abo', 'ads'], 'CBN': ['can', 'con', 'ab', 'aba', 'aban'], 'Jodi': ['lodi', 'boda', 'body', 'boli', 'code'], 'Sta': ['asta', 'ata', 'eta', 'ista', 'ita']}"
"Ayon kay Rosal, nagulat na lang siya nang biglang may kumalabog sa likuran ng kanyang minamanehong Isuzu truck.","Ayon kay Rosal, nagulat na lang siya nang biglang may kumalabog sa likuran ng kanyang minamanehong Isuzu truck.","Ayon kay Rosal, nagulat na lang siya nang biglang may kumalabog sa likuran ng kanyang minamanehong isubo truck.",['Isuzu'],"{'Isuzu': ['isu', 'isuam', 'isubo', 'isuka', 'isuko']}"
"Humihingi ngayon ng tulong si Tumao na makauwi para maipatanggal ang kutsilyo sa ospital kung saan siya inoperahanKBK, GMA News.","Humihingi ngayon ng tulong si Tumao na makauwi para maipatanggal ang kutsilyo sa ospital kung saan siya inoperahanKBK, GMA News.","Humihingi ngayon ng tulong si Tumao na makauwi para magpatanghal ang kutsilyo sa ospital kung saan siya inoperang, gia News.","['maipatanggal', 'inoperahanKBK', 'GMA']","{'maipatanggal': ['ipatanggal', 'magkatanggal', 'magpatanghal', 'magtatanggal', 'maipagtanggol'], 'inoperahanKBK': ['inapelahan', 'inapelahang', 'inoperang', 'maoperahan', 'naoperahan'], 'GMA': ['ama', 'ga', 'gia', 'goma', 'gra']}"
"Inihahanda na aniya ng DepEd ang mga eskuwelahang gagamitin sa pilot testing para masiguro ang social distancing, sapat na tubig, gamot at iba pa.","Inihahanda na aniya ng DepEd ang mga eskuwelahang gagamitin sa pilot testing para masiguro ang social distancing, sapat na tubig, gamot at iba pa.","Inihahanda na aniya ng DepEd ang mga eskuwelahang gagamitin sa pilot testing para masiguro ang social distancing, sapat na tubig, gamot at iba pa.",[],{}
"Sa inaprubahang panukala, babawasan o gagawing zero ang excise taxes sa diesel, kerosene at liquefied petroleum products sa zero gayundin ang excise taxes sa low octane gasoline na ginagamit ng mga tricycle driver habang mananatili ang premium gasoline.","Sa inaprubahang panukala, babawasan o gagawing zero ang excise taxes sa diesel, kerosene at liquefied petroleum products sa zero gayundin ang excise taxes sa low octane gasoline na ginagamit ng mga tricycle driver habang mananatili ang premium gasoline.","Sa inaprubahang panukala, babawasan o gagawing zero ang excise taxes sa diesel, kerosene at liquefied petroleum products sa zero gayundin ang excise taxes sa low ocean gasoline na ginagamit ng mga tricycle driver habang mananatili ang premium gasoline.",['octane'],"{'octane': ['butane', 'crane', 'ocean', 'octa', 'outage']}"
Maraming nagpantasya sa aktres na ito dahil sa ganda at mahusay pang umarte.,Maraming nagpantasya sa aktres na ito dahil sa ganda at mahusay pang umarte.,Maraming nagpataya sa aktres na ito dahil sa ganda at mahusay pang umarte.,['nagpantasya'],"{'nagpantasya': ['nagpantay', 'nagpapasya', 'nagpataya', 'magpantay', 'magpapasya']}"
"Bumalik ako sa pagiging estudyante ng buhay, pag-amin ng actor.","Bumalik ako sa pagiging estudyante ng buhay, pag-amin ng actor.","Bumalik ako sa pagiging estudyante ng buhay, pag-amin ng actor.",[],{}
"Mula Agosto 2 hanggang 8, sinabi ni Health Undersecretary Maria Rosario Vergeire, na may average na 8,829 na bagong mga kaso ang naitatala bawat araw.","Mula Agosto 2 hanggang 8, sinabi ni Health Undersecretary Maria Rosario Vergeire, na may average na 8,829 na bagong mga kaso ang naitatala bawat araw.","Mula Agosto d hanggang d, sinabi ni Health Undersecretary maia Rosario Vergeire, na may average na d,aal na bagong mga kaso ang naitatala bawat araw.","['2', '8', 'Maria', '8', '829']","{'2': ['b', 'c', 'd', 'e', 'f'], '8': ['b', 'c', 'd', 'e', 'f'], 'Maria': ['aria', 'mafia', 'maia', 'mara', 'mari'], '829': ['p25', 'aag', 'aal', 'aam', 'aat']}"
Wala namang perpektong relasyon.,Wala namang perpektong relasyon.,Wala namang perpektong relasyon.,[],{}
Di ko nga rin po alam eh.,Di ko nga rin po alam eh.,Di ko nga rin po alam eh.,[],{}
"Sakop ng panukala ang lahat ng pampubliko at pribadong institusyong pang-edukasyon kabilang ang mga paaralang elementarya at sekondarya, post-secondary technical-vocational institutes, at higher educational institutions.","Sakop ng panukala ang lahat ng pampubliko at pribadong institusyong pang-edukasyon kabilang ang mga paaralang elementarya at sekondarya, post-secondary technical-vocational institutes, at higher educational institutions.","Sakop ng panukala ang lahat ng pampubliko at pribadong institusyong pang-edukasyon kabilang ang mga paaralang elementarya at sekondarya, post-secondary technical-vocational institutes, at higher educational institutions.",[],{}
"At sayo 2020 thank you lahat ng tinuro mo sa amin, sa lahat ng sakit na binigay mo dahil sa lahat ng yun may bakas man, pero mas marami kaming natutunan..","At sayo 2020 thank you lahat ng tinuro mo sa amin, sa lahat ng sakit na binigay mo dahil sa lahat ng yun may bakas man, pero mas marami kaming natutunan..","At sayo aag thank you lahat ng itinuro mo sa amin, sa lahat ng sakit na binigay mo dahil sa lahat ng yun may bakas man, pero mas marami kaming natutunan..","['2020', 'tinuro']","{'2020': ['p25', 'aaba', 'aag', 'aako', 'aal'], 'tinuro': ['binuro', 'dinuro', 'itinuro', 'tinubo', 'tinugo']}"
"Kung may problema dahil sa pag-iingay o ano pa mang nakakaistorbo, dapat itong daanin ng magkakapitbahay sa magandang pakiusap.","Kung may problema dahil sa pag-iingay o ano pa mang nakakaistorbo, dapat itong daanin ng magkakapitbahay sa magandang pakiusap.","Kung may problema dahil sa pag-iingay o ano pa mang nakakaistorbo, dapat itong daanin ng magkakapitbahay sa magandang pakiusap.",[],{}
"Alitagtag, Batangas, Philippines ?? Kapwa nasawi ang kontraktor at kanyang live in partner nang sila ay pasukin at pagbabarilin sa loob ng kanilang bahay sa bayang ito.","Alitagtag, Batangas, Philippines ?? Kapwa nasawi ang kontraktor at kanyang live in partner nang sila ay pasukin at pagbabarilin sa loob ng kanilang bahay sa bayang ito.","alitaptap, Batangas, Philippines ?? Kapwa nasawi ang kontraktor at kanyang live in partner nang sila ay pasukin at pagbabarilin sa loob ng kanilang bahay sa bayang ito.",['Alitagtag'],"{'Alitagtag': ['alinagnag', 'alisagsag', 'alitaptap', 'aligaga', 'alimasag']}"
Idinagdag ng CA na dapat ipaubaya sa pagdinig ng korte ang tungkol sa usapin ng kredibilidad.,Idinagdag ng CA na dapat ipaubaya sa pagdinig ng korte ang tungkol sa usapin ng kredibilidad.,idinadag ng cab na dapat ipaubaya sa pagdinig ng korte ang tungkol sa usapin ng kredibilidad.,"['Irinagdag', 'CA']","{'Irinagdag': ['idinagdag', 'dinagdag', 'idinadag', 'alinagnag', 'binagbag'], 'CA': ['ba', 'c', 'cab', 'cal', 'cam']}"
Ang patent ay isang intellectual property na nagbibigay ng legal na karapatan sa owner o gumawa ng isang proyekto o produkto upang hindi ito magaya o magamit pa ng iba.,Ang patent ay isang intellectual property na nagbibigay ng legal na karapatan sa owner o gumawa ng isang proyekto o produkto upang hindi ito magaya o magamit pa ng iba.,Ang patena ay isang intellectual property na nagbibigay ng legal na karapatan sa owner o gumawa ng isang proyekto o produkto upang hindi ito magaya o magamit pa ng iba.,['patent'],"{'patent': ['parent', 'paten;', 'patena', 'patente', 'patient']}"
Magkaibigan pa rin naman kami.,Magkaibigan pa rin naman kami.,Magkaibigan pa rin naman kami.,[],{}
"But anyway, parang hindi mo na ngayong puwedeng sabihing ingat dahil sabi nga ni Ivana, sobra-sobra silang nag-iingat pero iba talaga ang bagsik ng Omicron.","But anyway, parang hindi mo na ngayong puwedeng sabihing ingat dahil sabi nga ni Ivana, sobra-sobra silang nag-iingat pero iba talaga ang bagsik ng Omicron.","But anay, parang hindi mo na ngayong puwedeng sabihing ingat dahil sabi nga ni bana, sobra-sobra silang nag-iingat pero iba talaga ang bagsik ng Omicron.","['anyway', 'Ivana']","{'anyway': ['anyay', 'aaway', 'anay', 'anilay', 'aniyay'], 'Ivana': ['ikana', 'asana', 'bana', 'diana', 'diyana']}"
Kanya rin pinagdiinan na sinumang kandidato na magbabayad ng PTW o ng PTC sa mga CPP-NPA-NDF at mga front organizations nito ay mananagot sa malaking pagkakasala sa taumbayan dahil labag ito sa Saligang Batas.,Kanya rin pinagdiinan na sinumang kandidato na magbabayad ng PTW o ng PTC sa mga CPP-NPA-NDF at mga front organizations nito ay mananagot sa malaking pagkakasala sa taumbayan dahil labag ito sa Saligang Batas.,Kanya rin ipinagdiinang na sinumang kandidato na magbabayad ng aaw o ng ptv sa mga cop-na-abf at mga front organizations nito ay mananagot sa malaking pagkakasala sa taumbayan dahil labag ito sa Saligang Batas.,"['pinagdiinan', 'PTW', 'PTC', 'CPP', 'NPA', 'NDF']","{'pinagdiinan': ['ipinagdiinan', 'ipagdiinan', 'ipinagdiinang', 'pinagbilinan', 'pinagbitinan'], 'PTW': ['paw', 'ptv', 'aaw', 'apaw', 'apt'], 'PTC': ['etc', 'pic', 'ptv', 'apt', 'at'], 'CPP': ['app', 'cap', 'cop', 'cup', 'ap'], 'NPA': ['apa', 'ipa', 'na', 'naa', 'napa'], 'NDF': ['ngf', 'ntf', 'abf', 'ad', 'ada']}"
"Ang sweet nilang dalawa sa mga litrato, at ang pinakabombang pasabog ay ang video na kung saan parang nagpu-propose itong si guwapong aktor kay mayamang bading.","Ang sweet nilang dalawa sa mga litrato, at ang pinakabombang pasabog ay ang video na kung saan parang nagpu-propose itong si guwapong aktor kay mayamang bading.","Ang sweet nilang dalawa sa mga litrato, at ang pinakabatang pasabog ay ang video na kung saan parang nagku-promos itong si guwapong aktor kay mayamang bading.","['pinakabombang', 'nagpu', 'propose']","{'pinakabombang': ['pinabababang', 'pinagkaloobang', 'pinakabatang', 'pinakabonggang', 'pinakakambong'], 'nagpu': ['magpu', 'nagdu', 'nagku', 'nagmu', 'nagpa'], 'propose': ['proposed', 'promise', 'promos', 'promote', 'propesa']}"
"Matapos ang libing, nagbigay ng mensahe ang dating First Lady na si Amelita upang pasalamatan ang mga nakidalamhati at nagpakita ng suporta sa kanilang pagdadalamhati.","Matapos ang libing, nagbigay ng mensahe ang dating First Lady na si Amelita upang pasalamatan ang mga nakidalamhati at nagpakita ng suporta sa kanilang pagdadalamhati.","Matapos ang libing, nagbigay ng mensahe ang dating First Lady na si milita upang pasalamatan ang mga nakidalamhati at nagpakita ng suporta sa kanilang pagdadalamhati.",['Amelita'],"{'Amelita': ['mamalita', 'mesita', 'milita', 'namalita', 'aalila']}"
"Tinawag ni De Guzman na ""home court"" ni Bongbong ang SMNI lalo nat una nang inendorso ni Quiboloy ang kandidatura ni BBM.","Tinawag ni De Guzman na ""home court"" ni Bongbong ang SMNI lalo nat una nang inendorso ni Quiboloy ang kandidatura ni BBM.","Tinawag ni De guguan na ""home court"" ni Bongbong ang SMNI lalo nat una nang inendorso ni Quiboloy ang kandidatura ni BBM.",['Guzman'],"{'Guzman': ['guman', 'gunman', 'guguan', 'gulaman', 'gumaan']}"
Sinabi ni Phoenix veteran guard Chris Paul na magpapatuloy sa kanyang pag-atake si Antetokounmpo sa hangaring maitabla ang kanyang koponan.,Sinabi ni Phoenix veteran guard Chris Paul na magpapatuloy sa kanyang pag-atake si Antetokounmpo sa hangaring maitabla ang kanyang koponan.,Sinabi ni phones veteran guard carts Paul na magpapatuloy sa kanyang pag-atake si antitoksinang sa hangaring maghabla ang kanyang koponan.,"['Phoenix', 'Chris', 'Antetokounmpo', 'maitabla']","{'Phoenix': ['helix', 'phone', 'phones', 'poesia', 'poonin'], 'Chris': ['cards', 'cars', 'carts', 'cers', 'chain'], 'Antetokounmpo': ['antitoksin', 'antitoksina', 'antitoksinang', 'antitoksing', 'antemano'], 'maitabla': ['magtabla', 'maitala', 'maghabla', 'magtala', 'mahabla']}"
"Manny umiiyak at nagmamakaawa ulit, dagdag pa niya.","Manny umiiyak at nagmamakaawa ulit, dagdag pa niya.","Manny umiiyak at nagmamakaawa ulit, dagdag pa niya.",[],{}
Kaya mananatili muna siya sa kanilang tahanan sa Palasyo ng Malakanyang at mabibigyan din ng pagkakataon ang Pangulo na magpahinga kaya sa susunod na linggo na lamang ang regular na public address nito.,Kaya mananatili muna siya sa kanilang tahanan sa Palasyo ng Malakanyang at mabibigyan din ng pagkakataon ang Pangulo na magpahinga kaya sa susunod na linggo na lamang ang regular na public address nito.,Kaya mananatili muna siya sa kanilang tahanan sa Palasyo ng magkanyang at mabibigyan din ng pagkakataon ang Pangulo na magpahinga kaya sa susunod na linggo na lamang ang regular na public address nito.,['Malakanyang'],"{'Malakanyang': ['lakanyang', 'magkakanyang', 'magkanyang', 'makakayang', 'malabanang']}"
"Sa inisyal na imbestigasyon, umamin ang suspek na isang alyas ??Rajav? ang nagbayad sa kaniya ng nasabing halaga para patayin ang dayuhang negosyante.","Sa inisyal na imbestigasyon, umamin ang suspek na isang alyas ??Rajav? ang nagbayad sa kaniya ng nasabing halaga para patayin ang dayuhang negosyante.","Sa inisyal na imbestigasyon, umamin ang suspek na isang alyas ??raka? ang nagbayad sa kaniya ng nasabing halaga para patayin ang dayuhang negosyante.",['Rajav'],"{'Rajav': ['raan', 'radar', 'raka', 'rama', 'ramay']}"
"Umabot na sa 591,796 ang mga ligtas na sa panganib simula nang mag-recover mula sa nakamamatay na sakit.","Umabot na sa 591,796 ang mga ligtas na sa panganib simula nang mag-recover mula sa nakamamatay na sakit.","Umabot na sa aam,aam ang mga ligtas na sa panganib simula nang mag-recover mula sa nakamamatay na sakit.","['591', '796']","{'591': ['aag', 'aal', 'aam', 'aat', 'aaw'], '796': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
Kailangan din nilang sumailalim sa mandatory quarantine paglapag ng Korea.,Kailangan din nilang sumailalim sa mandatory quarantine paglapag ng Korea.,Kailangan din nilang sumailalim sa mandatory quarantine paglapag ng Korea.,[],{}
Ito ang lumabas sa resulta ng Kalye Survey para sa mga Pinoy na nagtatrabaho sa ibayong dagat matapos makuha ni Marcos ang 92.13.,Ito ang lumabas sa resulta ng Kalye Survey para sa mga Pinoy na nagtatrabaho sa ibayong dagat matapos makuha ni Marcos ang 92.13.,Ito ang lumabas sa resulta ng Kalye Survey para sa mga Pinoy na nagtatrabaho sa ibayong dagat matapos makuha ni Marcos ang ag.ad.,"['92', '13']","{'92': ['ab', 'ad', 'ag', 'ah', 'ak'], '13': ['p3', 'ab', 'ad', 'ag', 'ah']}"
