Original Sentence,Gold Sentence
Pangalawa kulang ng vaccinators sa mgaprobinsiya,Pangalawa kulang ng vaccinators sa mga probinsiya
Winawarak ninyo ang dangal ng Department of Health DOH,Winawarak ninyo ang dangal ng Department of Health DOH
Anong masasabi siya rito,Anong masasabi niya rito
Kahit anong ingat mo pwedeng pwedeka tamaan ng COVID,Kahit anong ingat mo pwedeng pwede ka tamaan ng COVID
Basta father ka nila ok na iyon di bah,Basta father ka nila ok na iyon di bah
Kabilang diyan ang ,Kabilang diyan ang 
Minsan din ay nagaaya siya ng enuman,Minsan din ay nagaaya siya ng enuman
Iyon naman ang sinusundan na aabangan ng mga Kapuso,Iyon naman ang susunod na aabangan ng mga Kapuso
Dahil batid niyang hindi si ya pababayan ng Diyos,Dahil batid niyang hindi siya pababayan ng Diyos
Nauna nang itinanggi ni Lin ang a kusasyon,Nauna nang itinanggi ni Lin ang akusasyon
Ano ba talaga ang dapat,Ano ba talaga ang dapat
Yun ang totoo yun,Yun ang totoo yun
Sabi ng girl ‘Alin d’yan ang ipambabayad mo,Sabi ng girl ‘Alin d’yan ang ipambabayad mo
Noongnovember at malaking taasnaman sa,NoongNovember at malaking taas naman sa
Sumatutal  na angkinitil na buhay ng COVID sa bansa,Sumatutal  na ang kinitil na buhay ng COVID sa bansa
Sabi ko bakit walang ganito sa Pilipinas,Sabi ko bakit walang ganito sa Pilipinas
At ang kawalan siya ng silbi sa DA,At ang kawalan niya ng silbi sa DA
Jackpot ako dito kung magkataon”,Jackpot ako rito kung magkataon”
Nagset kami ng coffee date roon nagsimula,Nagset kami ng coffee date doon nagsimula
Pero ito nga yon yung dapat ay hindi lumaki,Pero ito nga yon yung dapat ay hindi na lumaki
“Naging trauma sa akin ‘yung kasal n’yo,“Naging trauma sa akin ‘yung kasal n’yo
Tumanggi ang suspek na magbigay ng kaniyang pahayagJamil,Tumanggi ang suspek na magbigay ng kaniyang pahayagJamil
O nahanap na niya pero quiet lang siya,O nahanap na niya pero quiet lang siya
Ayon sa pamilya Veluz tuwing Pasko nila ito ginagawa,Ayon sa pamilya Veluz tuwing Pasko nila ito ginagawa
Aniya nasa bahay lang nila sa naturang petsa,Aniya nasa bahay lang sila sa naturang petsa
Nakatakdang magbukas BLeague,Nakatakdang magbukas ang BLeague
Congratulations sa kaniyang mga kababayan diyan sa Zamboanga City,Congratulations sa kaniyang mga kababayan diyan sa Zamboanga City
“o Diyos mahabag po Kayo sa akin naisang makasalanan”,“O Diyos mahabag po Kayo sa akin na isang makasalanan”
Wala pang detalye tungkol sa project na ito Isko,Wala pang detalye tungkol sa project na ito ni Isko
“kasi dati dati nagalaga kami ng dogs takot siya,“Kasi dati nagalaga kami ng dogs takot siya
Hiningan namin ng reaksyonsi Kuya Boy tungkol dito,Hiningan namin ng reaksyon si Kuya Boy tungkol dito
Ayon sa dalawa pareho silang kain ng sinigang,Ayon sa dalawa pareho silang kumakain ng sinigang
Bakit may ganyan natatawang sabi ng aktres,Bakit may ganyan natatawang sabi ng aktres
Doon ko nakikita kung ano ang intention,Doon ko nakita kung ano ang intention
Taong  ng ikasal si Isabelle kay Adrien Semblat,Taong  nang ikasal si Isabelle kay Adrien Semblat
So so tingnan natin ani Dianne,So tingnan natin ani Dianne
Naghahanda tayo para rito sa sinasabi nating new normal,Naghahanda tayo para rito sa sinasabi nating new normal
Mabuo pa kaya ni Tisay ang kanyang mga pamilya,Mabuo pa kaya ni Tisay ang kanyang mga pamilya
Kahit English carabao naintindihan siya eh,Kahit English carabao naintindihan niya eh
May gustong magkaroon bagong bahay tutulungan niyang bumili,May gustong magkaroon ng bagong bahay tutulungan niyang bumili
Bakit mo ba naisip na iinvite ako,Bakit mo ba naisip na iinvite ako
Mas marami yan kumpara SA ,Mas marami yan kumpara sa 
Puwede bang walang makakaalam ng totoong nangyari,Puwede bang walang makakaalam ng totoong nangyari
Nawala akong naramdaman,Wala akong naramdaman
Ngunit kahihindi ito hadlang para kay Pacquiao,Ngunit hindi ito hadlang para kay Pacquiao
Yung nagsabi ko kahapon yung vote buying mali yon,Yung sinabi ko kahapon yung vote buying mali yon
Di ba kanonood lang tayo,Di ba nanonood lang tayo
Kasalukuyang nasa ilalim ng Executive order s,Kasalukuyang nasa ilalim ng Executive Order s
Masaya siya sa kasimplehan ng buhay niya,Masaya siya sa kasimplehan ng buhay niya
Nagmungkahi na kami ng ng extension,Nagmungkahi na kami ng extension
Teka sino kayo,Teka sino kayo
Napanalunan siya sa  Weeks ni Direk Anna Isabelle Matutina,Nanalo siya sa  Weeks ni Direk Anna Isabelle Matutina
Agarang rin natin nakipagcoordinate sa Nagsaing Elementary School,Agarang din natin nakipagcoordinate sa Nagsaing Elementary School
Huwag nating SAYANGIN ang pagkakataon,Huwag nating sayangin ang pagkakataon
At dahil nakabubble naman sila safe naman raw talaga,At dahil nakabubble naman sila safe naman daw talaga
Totoo ha yung hindi prosthetics” pagtatapat niya,Totoo ha yung hindi prosthetics” pagtatapat niya
Alam naman sila yan kung sino malakas sa industry,Alam naman nila yan kung sino malakas sa industry
Plano rin umano ng administrasyon na kinuha ng ,Plano rin umano ng administrasyon na kumuha ng 
Habang ang kanilang ina ay tinatrabaho sa Maynila,Habang ang kanilang ina ay nagtatrabaho sa Maynila
Tumakas tumakas naman ang mga salarin sakay ng motorsiklo,Tumakas naman ang mga salarin sakay ng motorsiklo
Percent ang rating rating ng guesting ni Sanya,Percent ang rating ng guesting ni Sanya
Matatandaang niya ang nagboses kay Takeru para sa Maskman,Matatandaang siya ang nagboses kay Takeru para sa Maskman
Puwede bang MANLIGAW,Puwede bang manligaw
Naicombine din nila ang tradisyong italyano at pinoy,Naicombine rin nila ang tradisyong italyano at pinoy
Ka ya sa nagmamahalan walang tama o mali,Kaya sa nagmamahalan walang tama o mali
Pero kahit matatapos na ang “Anak ni Waray vs,Pero kahit matatapos na ang “Anak ni Waray vs
Marami silang fans na iboboto rin ang sinusuportahan nila,Marami silang fans na iboboto rin ang sinusuportahan nila
Medyo mahirap lang ang KALAGAYAN ni Sen,Medyo mahirap lang ang kalagayan ni Sen
Actually ginagawa na namin dati pa na kapag,Actually ginagawa na namin dati pa na kapag
Ang latest na nabalitaannamin nakabuo na raw ito,Ang latest na nabalitaan namin nakabuo na raw ito
Im sure ang sagot nya ok naman sya,Im sure ang sagot nya ok naman sya
Kasi biglaan din naman ang kanilang naging relasyon,Kasi biglaan din naman ang kanilang naging relasyon
Isang virtual media conference gaganapin,Isang virtual media conference ang gaganapin
Sinagot naman niya si Rivero,Sinagot naman niya si Rivero
Cash sa loob nang kanyang backpack,Cash sa loob ng kanyang backpack
Matapos ang show dumiretso si Empoy sa CR,Matapos ang show dumiretso si Empoy sa CR
Pero gaano ka ba ito ka epektibo,Pero gaano ka ba ito ka epektibo
Makaligtas kaya ang mga rider ng dalawang motorsiklo,Makaligtas kaya ang mga rider ng dalawang motorsiklo
Kukuhain na naming lahat,Kinuha na naming lahat
Eh hihindian pa po ako marunong umakting nun,Eh hindi pa po ako marunong umakting nun
so hindi po tayo nagluluwag una,So hindi po tayo nagluluwag una
Nataganan ng truck ang magina na dahilanng kanilang pagkasawi,Nataganan ng truck ang magina na dahilan ng kanilang pagkasawi
Or apparently SABIHIN natin meron talagang sindikatong involved,Or apparently sabihin natin meron talagang sindikatong involved
Nabitawan ko ang aking a po,Nabitawan ko ang aking apo
Sangayon kongresista siya sa Maynila pero hindi sa Sampaloc,Sa ngayon kongresista siya sa Maynila pero hindi sa Sampaloc
Wala sa isip siya ang paglundag ng bakod,Wala sa isip niya ang paglundag ng bakod
Kahihindi anya solusyon ang alisan ng pangkain ang tao,Hindi anya solusyon ang alisan ng pangkain ang tao
Na lang niya or ,Na lang siya or 
Hindi ko po kaaalam kung anong gagawin ko,Hindi ko po alam kung anong gagawin ko
ANG sad part lang nagkalat ang bashers,Ang sad part lang nagkalat ang bashers
Professional siya hindi NIYA pinaghihintay ang mga katabaho niya,Professional siya hindi niya pinaghihintay ang mga katabaho niya
Narito ang sunudsunod na post siya sa FB HAGULGOL,Narito ang sunudsunod na post niya sa FB HAGULGOL
Nasa bansa si Qin para sa  araw naofficial visit,Nasa bansa si Qin para sa  araw na official visit
Ano kaya ang naibigay niyang tulong,Ano kaya ang naibigay niyang tulong
hindi raw dapat nagmamadali pagdating sa pagibig o pagmamahal,Hindi raw dapat nagmamadali pagdating sa pagibig o pagmamahal
Hindi naman ito available sa lahat lahat ng ospital,Hindi naman ito available sa lahat ng ospital
“nakangiti pero pinipigilan lang lang umiyak,“Nakangiti pero pinipigilan lang umiyak
Trabaho lang walang walang personalan ika nga,Trabaho lang walang personalan ika nga
sayang nang MMK,Sayang wala nang MMK
Meaning talagang marami ang NAIEXCITE sa Family Feud,Meaning talagang marami ang naiexcite sa Family Feud
“Kailangan ko lang siyempre magrepresenta anniversary namin,“Kailangan ko lang siyempre magrepresenta anniversary namin
Napapailing pagalala ng aming source,Napapailing na pagalala ng aming source
Pinapabayaan ko lang sila dagdag paniya,Pinapabayaan ko lang sila dagdag pa niya
Nakatulong rin siya sa ilan niyang kababayang nangangailangan,Nakatulong din siya sa ilan niyang kababayang nangangailangan
Ang magkaayos sila alangalang sa kanilang mga anak,Ang magkaayos sila alangalang sa kanilang mga anak
Mula Hunyo  ala ng HAPON hanggang alas ng hapon,Mula Hunyo  ala ng hapon hanggang alas ng hapon
Bilyon at ngayong  ay aabot sa P,Bilyon at ngayong  ay umaabot sa P
anyos pawang residente ng purok Brgy,anyos pawang residente ng Purok Brgy
Ako siyempre respeto lang din di ba,Ako siyempre respeto lang din di ba
Bakit ka nagtatrabaho,Bakit ka nagtatrabaho
Ito ay ang pag ibig Mo para sa amin,Ito ay ang pagibig Mo para sa amin
Ang bait sila napabili pa ko tuloy ng iba,Ang bait nila napabili pa ko tuloy ng iba
Mabuhay ka Billy,Mabuhay ka Billy
Nila ang tao na hindi marunong makontento,Sila ang tao na hindi marunong makontento
So hindi na din namin siya napapagusapan,So hindi na rin namin siya napapagusapan
Ano ang ginawa mo riyan bakit may sugat,Ano ang ginawa mo riyan bakit may sugat
Dalawa raw rito ay tumakas na patungong China,Dalawa raw rito ay tumakas na patungong China
Kasi ngayon ko lang niya nakitang ganung kaintense kaserious,Kasi ngayon ko lang siya nakitang ganung kaintense kaserious
Trilyon para sapagbabayad ng utang sa ,Trilyon para sa pagbabayad ng utang sa 
Pero ayon kay LJ hindi daw matampuhin si Paolo,Pero ayon kay LJ hindi raw matampuhin si Paolo
Sinisigaw siya nang napakalakas ‘Naiihi ako,Sisigaw siya nang napakalakas ‘Naiihi ako
Matapos nating marinig ang paghingi ng tulong ni SEC,Matapos nating marinig ang paghingi ng tulong ni Sec
Sa naging pahayag ng aktres ay tatawagin niyang ‘Ms,Sa naging pahayag ng aktres ay tinawag niyang ‘Ms
ANONG problema natin Karylle sagot nito,Anong problema natin Karylle sagot nito
ay nasa alert LEVEL  ang buong NCR, ay nasa alert level  ang buong NCR
Ang hindi niya alam magkikita na nila ni Jessica,Ang hindi niya alam magkikita na sila ni Jessica
Ano nga ba ang kailangan upang maging isang superhero,Ano nga ba ang kailangan upang maging isang superhero
Sa kalagitnaan ng imbestigasyon biglang katatago sa si Dane,Sa kalagitnaan ng imbestigasyon biglang nagtago sa si Dane
Patuloy lang tayong manalig sa Panginoon ayon SA pahayag,Patuloy lang tayong manalig sa Panginoon ayon sa pahayag
Kasi angdaming naghirap ang daming nawalan ng work eh,Kasi ang daming naghirap ang daming nawalan ng work eh
Mahal namahal kita sabi ng aktor,Mahal na mahal kita sabi ng aktor
Asan raw ang salawal,Asan daw ang salawal
Walang ganoon para sa bise presidente,Walang ganoon para sa bise presidente
Tunga ng bayang ito kamakalawa ngumaga,Tunga ng bayang ito kamakalawa ng umaga
tinatayang aabot sa P,Tinatayang aabot sa P
Ayoko nang pagusapan at baka maaward pa ako”,Ayoko nang pagusapan at baka maaward pa ako”
Kokomprontahin kaya ni Dan ang asawa sa nakita,Kokomprontahin kaya ni Dan ang asawa sa nakita
Ngunit tiniyak na hindi sila ito pahihintulutang maisakatuparan,Ngunit tiniyak na hindi nila ito pahihintulutang maisakatuparan
Talagang iiyak na ako sabi Joaquin,Talagang iiyak na ako sabi ni Joaquin
Ano yun gusto mo pagusapan ka lagi duh,Ano yun gusto mo pagusapan ka lagi duh
Kapag nadadaanan siya ako ‘pangkape mo nay’,Kapag nadadaanan niya ako ‘pangkape mo nay’
Work muna saka na anglove ani Paulo,Work muna saka na ang love ani Paulo
Kailangan KONG maging maayos hindi makalat,Kailangan kong maging maayos hindi makalat
Hindi lang niya ako hinahayaan katutulong niya ako,Hindi lang niya ako hinahayaan tinutulungan niya ako
tapos mamaya wala akong kinakain iinom ako ulit,Tapos mamaya wala akong kinakain iinom ako ulit
“Akala ko kahihindi ko ito maeexperience,“Akala ko hindi ko ito maeexperience
And MARAMI na ring content na ginagawa sa bahay,And marami na ring content na ginagawa sa bahay
Sabi NI Angeline talaga naman daw matulungin siyang tao,Sabi ni Angeline talaga naman daw matulungin siyang tao
Para makapag move encourage ng mga tao,Para makapagmove encourage ng mga tao
Gods will talaga,Gods will talaga
Naisip siya na ipaalaga muna ako sa Star Magic,Naisip niya na ipaalaga muna ako sa Star Magic
San Piro Balayan Batangas bandang alas ngmadaling araw,San Piro Balayan Batangas bandang alas ng madaling araw
Mapagmahal na pinapanganak iyan si Maya tsaka magalang,Mapagmahal na anak iyan si Maya tsaka magalang
Na tinayuan ay bumalik sa landas,Na tayo ay bumalik sa landas
Taos puso akong nagpapasalamat sa ng bumubuo ng PKM,Taos puso akong nagpapasalamat sa lahat ng bumubuo ng PKM
Sabi nang PA ko ‘Madam okay ka lang ba’,Sabi ng PA ko ‘Madam okay ka lang ba’
Ipinamajagiang pagkain sa mga depot sa bawat barangay,Ipinamajagi ang pagkain sa mga depot sa bawat barangay
Hindi alam talaga,Hindi ko alam talaga
Tuloy langsa buhay dagdag pa niya,Tuloy lang sa buhay dagdag pa niya
E to lang yung isang talagang nakakaproud,Eto lang yung isang talagang nakakaproud
Ayaw niya na ring pigilan ayaw na niyang ihinto,Ayaw niya na ring pigilan ayaw na niyang ihinto
Totoongtotoo angmensahe,Totoongtotoo ang mensahe
Alalahanin natin kasali siya doon sa Napoles case,Alalahanin natin kasali siya roon sa Napoles case
Pabakuna na po tayo Huwag po tayong matakot,Pabakuna na po tayo Huwag po tayong matakot
Pressured talaga kasi firsttime namin talaga sumalang sa comedy,Pressured talaga kasi first time namin talaga sumalang sa comedy
Higit na mas MABABA ito sa ,Higit na mas mababa ito sa 
Bitbit ang malaking halaga ng pera tumakasang magasawa,Bitbit ang malaking halaga ng pera tumakas ang magasawa
Nakikita ko doctor nagiiyakan na nagmamakaawa mga nurseNever,Nakikita ko mga doctor nagiiyakan na nagmamakaawa mga nurseNever
Nagulat naman ang cohost nitong si Mama Loi Ha,Nagulat naman ang cohost nitong si Mama Loi Ha
Umabot na sa  recoveries habang nasa  ang naitalang nasawi,Umabot na sa  ang recoveries habang nasa  ang naitalang nasawi
Nasunog na yan noon hindi niya nasunog,Nasunog na yan noon hindi siya nasunog
To be fair sa taong nagpahiram naman,To be fair doon sa taong nagpahiram naman
Gayunpaman depende pa RAW ito kung sapat ang suplay,Gayunpaman depende pa raw ito kung sapat ang suplay
Hanggang sa magdadala na raw nila ito sa Mt,Hanggang sa dinala na raw nila ito sa Mt
Nakilala ANGNASAWI na si Pat,Nakilala angnasawi na si Pat
Sobrang anghel ng magiging misisko mabait yon,Sobrang anghel ng magiging misis ko mabait yon
Si Dingdong Dantes naman ay sumagot ang isang basher,Si Dingdong Dantes naman ay sinagot ang isang basher
Artista man kaya din nila,Artista man kaya rin nila
Hindi nabibili ang pagibig Kris Aquino,Hindi nabibili ang pagibig Kris Aquino
Wala ka nang silbi,Wala ka nang silbi
Tatapusin tinitigan ko muna,Tapos tinitigan ko muna
Ang halaga ng production loss o pinsala Region ,Ang halaga ng production loss o pinsala sa Region 
At iyon ang nagpapaligaya at pinapaganda sa kanya,At iyon ang nagpapaligaya at nagpapaganda sa kanya
Kailangan kami dito para matreat yung anak ko,Kailangan kami rito para matreat yung anak ko
Nihaniho walang sasabihin sa akin,Nihaniho walang sinasabi sa akin
Limang individual events ang ang lalahukan ni Mojdeh,Limang individual events ang lalahukan ni Mojdeh
Sa isang pelikulang posibleng collaboration nang Rein at Viva,Sa isang pelikulang posibleng collaboration ng Rein at Viva
Masarap magalaga lalo na at mabait ito,Masarap magalaga lalo na at mabait ito
Kasi marami pang nangangailangan sabi ni QuiogueKBK GMA News,Kasi marami pang nangangailangan sabi ni QuiogueKBK GMA News
Fact is lahat ngmali ko alam ko,Fact is lahat ng mali ko alam ko
Dinadaluhan niya talaga angawarding ng Eddys kapag nanunominate siya,Dinadaluhan niya talaga ang awarding ng Eddys kapag nanunominate siya
Hanggang Pebrero  angkontrata ni Baltazar sa Strong Group,Hanggang Pebrero  ang kontrata ni Baltazar sa Strong Group
Basta sinabi nitong unofficial angresults nilang inilabas,Basta sinabi nitong unofficial ang results nilang inilabas
Hihindi talaga makatarungan to,Hindi talaga makatarungan to
Bata pasiya noon,Bata pa siya noon
Ayun nagunfollow na lang sa kanilang social media account,Ayun nagunfollow na lang sa kanilang social media account
Kung noon namin ito gagawin medyo mahirap,Kung noon namin ito ginawa medyo mahirap
Ang nangyayari tuloy pataasan nila ng birit,Ang nangyayari tuloy pataasan sila ng birit
Kaya ba natin tularan ang ginawa ni Kristo,Kaya ba natin tularan ang ginawa ni Kristo
Totoo bang Fast Talk ang magiging title nito,Totoo bang Fast Talk ang magiging title nito
Ptv ptv  tax ng tao ginagastos nyo paalala,PTV  tax ng tao ginagastos nyo paalala
Nakagat nila ako parang lumalaki na yung mukha ko,Nakagat nila ako parang lumalaki na yung mukha ko
Nakuha ng mga pulis rito ang isang,Nakuha ng mga pulis dito ang isang
Kikilalanin ang isang nasagip na si Benjamin Abdulla,Kinilala ang isang nasagip na si Benjamin Abdulla
Mahusay rin niya sa Bubble Gang bilang komedyante,Mahusay rin siya sa Bubble Gang bilang komedyante
BIRO ng mga natatawang dabarkads Away to,Biro ng mga natatawang dabarkads Away to
Kung ako ang tatanungin ninyo,Kung ako ang tatanungin ninyo
Si Villamor naman ay nagpatay sa loob ng NBP,Si Villamor naman ay pinatay sa loob ng NBP
Kasama na dito ang regular na swab testing,Kasama na rito ang regular na swab testing
Naipaalam na daw nila ito sa mga awtoridad,Naipaalam na raw nila ito sa mga awtoridad
Wala lang ganun langyung trip namin ng family ko,Wala lang ganun lang yung trip namin ng family ko
May pagkakataong naging number  rin si Coco Martin,May pagkakataong naging number  din si Coco Martin
Hindi naman po siguro aabutin ng  days or  days,Hindi naman po siguro umabot ng  days or  days
Kasi ikaw miss nanamin makabonding,Kasi ikaw miss na namin makabonding
Eight months po akong buntis kinasal kami patuloy niya,Eight months po akong buntis nang kinasal kami patuloy niya
Inilahad ng mga suspek ang bersyon ng kanilang pangyayari,Inilahad ng mga suspek ang bersyon ng kanilang pangyayari
Ano nga kaya ang kinalabasan ng imbestigasyon,Ano nga kaya ang kinalabasan ng imbestigasyon
Pero never naman raw niyang pasukin ang pulitika,Pero never naman daw niyang pasukin ang pulitika
As in nagalit talaga siya,As in nagalit talaga siya
Nagshift po noong gabi na yun,Nagshift po kami noong gabi na yun
Nag alok ng P milyong pabuya si Sen,Nagalok ng P milyong pabuya si Sen
Nagmeeting kami ngayon,Nagmeeting kami ngayon
Ng kabuuang bilang ng respondentshabang ,Ng kabuuang bilang ng respondents habang 
Matatakot siya sa kanyang seguridad pag umuwi raw siya,Natatakot siya sa kanyang seguridad pag umuwi raw siya
Wala pang nababalitaang nagsama sila uli sa isang project,Wala pang nababalitaang magsasama sila uli sa isang project
Ganun siya kagaling umarte,Ganun siya kagaling umarte
Bongga talaga ang Gretchen talagang hindi hinintuan sa pagtulong,Bongga talaga ang Gretchen talagang hindi humihinto sa pagtulong
MARAMI na ang naunang tumalon sa ibang networks,Marami na ang naunang tumalon sa ibang networks
Nagrirecommend lang kami hihindi naman namin puwede magkaso,Nagrirecommend lang kami hindi naman namin puwede magkaso
Masayayung disposisyon ko sa buhay,Masaya yung disposisyon ko sa buhay
Si Dave Apolinario NA hawak ang IBO flyweight title,Si Dave Apolinario na hawak ang IBO flyweight title
‘yung anak ko ayaw napo nilang ipakita sa akin,‘Yung anak ko ayaw na po nilang ipakita sa akin
Wait nakilig ako riyan,Wait nakilig ako riyan
Umupo niya sa backride ng isang tricycle,Umupo siya sa backride ng isang tricycle
Yun po po ang pagkaalam ko,Yun po ang pagkaalam ko
Ang driver ngtruck tumakas,Ang driver ng truck tumakas
Sa huling ulat ng DOH kanina umabot na sa ,Sa huling ulat ng DOH kanina umabot na sa 
Na mapapanood na ng libre simula Enero ,Na mapapanood na nang libre simula Enero 
Salamat sa Diyos na nandito parin kami,Salamat sa Diyos na nandito pa rin kami
Bilyon sa DOTr na hindi man lang na gagalaw,Bilyon sa DOTr na hindi man lang nagagalaw
Panibagong araw hatid ay panibagong pagasa,Panibagong araw hatid ay panibagong pagasa
So sino ang pinakamataas ang score sa kani la,So sino ang pinakamataas ang score sa kanila
Ganyan din naman ang SABI ni Sen,Ganyan din naman ang sabi ni Sen
Nakapuwesto sila kung saan kayo nagteTake It,Nakapuwesto sila kung saan kayo nagteTake It
Ang inihina ng piso laban sa US dol lar,Ang inihina ng piso laban sa US dollar
Sino ang vlogger na ito,Sino ang vlogger na ito
Pinakamayayamang pamilya at tiered CIT scheme,Pinakamayayamang pamilya at tiered CIT scheme
Nagpapatay na sa ngayon ang  diyan,Patay na sa ngayon ang  diyan
Di ba pinapatay natin ang magsasaka non,Di ba pinapatay natin ang magsasaka non
Pangilinan upang matulungan ang sektor nang MSMEs,Pangilinan upang matulungan ang sektor ng MSMEs
Una ng ipinagutos ni Pang,Una nang ipinagutos ni Pang
Ang panawagang ito ng mga kawani ng pamahala an,Ang panawagang ito ng mga kawani ng pamahalaan
Dalawang kotse raw yung hinihintay kay mommy dagdag niya,Dalawang kotse raw yung naghihintay kay mommy dagdag niya
Pagbati ni Camille kay Nathan na nagdiwang noong Enero ,Pagbati ni Camille kay Nathan na nagdiwang noong Enero 
Limbo ng bayang ito,Limbo ng bayang ito
Pero ganon din,Pero ganon din
Sobra siyang maingat sobrang linis niya,Sobra siyang maingat sobrang linis niya
Medyo controversial ngayon ang mga happening ni Derek Ramsay,Medyo controversial ngayon ang mga happening ni Derek Ramsay
Ngayon nakikita sila ko sa TV,Ngayon nakikita nila ko sa TV
Babalik tayo wait LANG tayo,Babalik tayo wait lang tayo
Puwede ba magtigil kayong dalawa,Puwede ba magtigil kayong dalawa
Hinihila siya po yung paa ko,Hinihila niya po yung paa ko
Kumanta niya walang pumansin sa kanta niya,Kumanta siya walang pumansin sa kanta niya
Dagdag sagasolina,Dagdag sa gasolina
Hindi naman biro yon na pagkatiwalaan ka,Kasi hindi naman biro yon na pagkatiwalaan ka
Garcia dito kamakalawa ng gabi,Garcia dito kamakalawa ng gabi
Hindi din ako marunong umarte,Hindi rin ako marunong umarte
Yun angmagandang balita,Yun ang magandang balita
Sa Indonesia at Singapore ngayong linggo,Sa Indonesia at Singapore ngayong linggo
Kuwento ng aming source Meron,Kuwento ng aming source Meron
Kasi ang mga anak ko naman naintindihan na nila,Kasi ang mga anak ko naman naiintindihan na nila
Tapos nagkuwentuhan kami naginuman kami magpapakilala rin ako,Tapos nagkuwentuhan kami naginuman kami nagpakilala rin ako
So nong nagsabi niya na namatay na ‘Ha,So nong nagsabi siya na namatay na ‘Ha
Doon niya napagtanto na ihahanda na siyang magpatawad,Doon niya napagtanto na handa na siyang magpatawad
Ang sakit sakit na nun,Ang sakitsakit na nun
Pag maynagkamali roon suntok agad sa mukha anang aktor,Pag may nagkamali roon suntok agad sa mukha anang aktor
Sumagot namansi Dara ng Salamat,Sumagot naman si Dara ng Salamat
Sunod na nilagnat ang anyos niyang a nak,Sunod na nilagnat ang anyos niyang anak
La hat ng kaso,Lahat ng kaso
Kilala probinsyano si Piolo simula nang magkaroon ng pandemic,Kilala nang probinsyano si Piolo simula nang magkaroon ng pandemic
Ayon kay Manuel nag taas kasi ng ,Ayon kay Manuel nagtaas kasi ng 
Ifile rito sa ating korte hindi roon sa ICC,Ifile niya rito sa ating korte hindi roon sa ICC
Natawang sabi ni DJ jhaijo,Natawang sabi ni DJ Jhaijo
Nakaranas rin ang aktres ng miscarriages noong  at ,Nakaranas din ang aktres ng miscarriages noong  at 
Awts sey naman ng isang NETIZEN,Awts sey naman ng isang netizen
 na NILAGDAAN ni Pangulong Rodrigo Duterte nitong Mayo , na nilagdaan ni Pangulong Rodrigo Duterte nitong Mayo 
Aniya sa caption Bakit ako lumapit,Aniya sa caption Bakit ako lumapit
Pero wala pa din kaming nakuhang detalye,Pero wala pa rin kaming nakuhang detalye
Naniniwala rin niya na lalabas din ang katotohanan,Naniniwala rin siya na lalabas din ang katotohanan
Sasagot pa lang po ang DOH,Sasagot pa lang po ang DOH
Uulitin ko ilang beses kong sinasabi ito,Uulitin ko ilang beses kong sinasabi ito
Kaugnay nito ay sinabi ni Galvez Jr,Kaugnay nito ay sinabi ni Galvez Jr
Dapat sa kanila patayin rin po sila,Dapat sa kanila patayin din po sila
Ng Setyembre binaba pa ito sa  schools o ,Ng Setyembre bumaba pa ito sa  schools o 
Pero kung iisipin kasalanan ba ni James iyon,Pero kung iisipin kasalanan ba ni James iyon
Aakyat din ang reproduction number sa rehiyon sa ,Umakyat din ang reproduction number sa rehiyon sa 
Isinugod niya sa ospital at inoperahan noong Dec,Isinugod siya sa ospital at inoperahan noong Dec
Kaya darating naman daw ang tamang pa nahon,Kaya darating naman daw ang tamang panahon
GANUN siguro pag soulmate,Ganun siguro pag soulmate
Ilaban na lang siya nang maayos ang ating bansa,Ilaban na lang niya nang maayos ang ating bansa
Halos tat long beses o ,Halos tatlong beses o 
May pagkakahawig ba ang character niya sa real life,May pagkakahawig ba ang character niya sa real life
Angpamilya ng mga uniformed personnel,Ang pamilya ng mga uniformed personnel
Napakahalaga nga ng salitang pagtanggap sa anumang larangan,Napakahalaga nga ng salitang pagtanggap sa anumang larangan
So as inmalinis ang katawan niya sa droga,So as in malinis ang katawan niya sa droga
Soako naman parang,So ako naman parang
Agahan na ni la yun pananghalian at hapunan,Agahan na nila yun pananghalian at hapunan
Sandali sandali babae pala ako,Sandali babae pala ako
Nanatili naman naman sa  ang bilang ng mga nasawi,Nanatili naman sa  ang bilang ng mga nasawi
Niya dapat si Daniel Padilla ngayon,Siya dapat si Daniel Padilla ngayon
GO big or go home” makahulugang paliwanag ng singer,Go big or go home” makahulugang paliwanag ng singer
Inaasahan na aabot ngayong taon anginflation rate sa ,Inaasahan na aabot ngayong taon ang inflation rate sa 
Wala raw siyang uminom na gamot kundi vitamin C,Wala raw siyang iniinom na gamot kundi vitamin C
 ang ang Hiroshima sa  kartada habang nakabuntot sa No, ang Hiroshima sa  kartada habang nakabuntot sa No
Samantalang yung ibang malalaking artista hindi pa nakakatrabaho,Samantalang yung ibang malalaking artista hindi pa sila nakakatrabaho
Patuloy pa angimbestigasyon ng mga awtoridad sa nangyaring trahediya,Patuloy pa ang imbestigasyon ng mga awtoridad sa nangyaring trahediya
Sila din naman natanggal lahat charot,Sila rin naman natanggal lahat charot
Mapapanood na sa Netflix Philippines simula sa Dec,Mapapanood na sa Netflix Philippines simula sa Dec
Hindi ang publisidadni Angel Locsin,Hindi ganyan ang publisidadni Angel Locsin
Kaabangabang Inaabangan angmga subaybayin na mga nobela,Kaabangabang Inaabangan ang mga subaybayin na mga nobela
