Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
Wala po sa plano na umabot sa ganito pero okay naman nakikita ko yung ibang directors nakikita nila ako sa iba pang kaya ko pang gawin.,Wala po sa plano na umabot sa ganito pero okay naman nakikita ko yung ibang directors nakikita nila ako sa iba pang kaya ko pang gawin.,Wala po sa plano na umabot sa ganito pero okay naman nakikita ko yung ibang directors nakikita nila ako sa iba pang kaya ko pang gawin.,[],{}
"Para naman kay Ricky, sinabi niya na batay sa kaniyang karakter na isang mayor, sinabi ng aktor na natutunan niya na hindi maaaring magdikta ang isang tao kahit pa makapangyarihan.","Para naman kay Ricky, sinabi niya na batay sa kaniyang karakter na isang mayor, sinabi ng aktor na natutunan niya na hindi maaaring magdikta ang isang tao kahit pa makapangyarihan.","Para naman kay Ricky, sinabi niya na batay sa kaniyang karakter na isang mayor, sinabi ng aktor na natutunan niya na hindi maaaring magdikta ang isang tao kahit pa makapangyarihan.",[],{}
"Nangyari ito nang patulugin niya sa kanilang bahay ang kaniyang girlfriend na ipinakilala niyang ""best friend.""","Nangyari ito nang patulugin niya sa kanilang bahay ang kaniyang girlfriend na ipinakilala niyang ""best friend.""","Nangyari ito nang patulugin niya sa kanilang bahay ang kaniyang girlfriend na ipinakilala niyang ""best friend.""",[],{}
"Mabibili ang Molnupiravir sa Compassionate Special Permit (CSP) na pinapayagan lamang ng FDA sa mga applicant hospital, institution, o sa lisensiyadong doktor.","Mabibili ang Molnupiravir sa Compassionate Special Permit (CSP) na pinapayagan lamang ng FDA sa mga applicant hospital, institution, o sa lisensiyadong doktor.","Mabibili ang Molnupiravir sa Compassionate Special Permit (csc) na pinapayagan lamang ng FDA sa mga applicant hospital, institution, o sa lisensiyadong doktor.",['CSP'],"{'CSP': ['cap', 'cop', 'csc', 'cup', 'ap']}"
Nakasentro na ang atensiyon ni Donnie Nietes sa mas malalaking laban matapos ang kanyang impresibong comeback win.,Nakasentro na ang atensiyon ni Donnie Nietes sa mas malalaking laban matapos ang kanyang impresibong comeback win.,Nakasentro na ang atensiyon ni anniv intes sa mas malalaking laban matapos ang kanyang impresibong comeback win.,"['Donnie', 'Nietes']","{'Donnie': ['donate', 'done', 'anniv', 'bone', 'bonete'], 'Nietes': ['aretes', 'bienes', 'intes', 'nets', 'niece']}"
24/ 7 ang pagbabantay na ginagawa upang matiyak na walang hayop na maninira sa mga tanim.,24/ 7 ang pagbabantay na ginagawa upang matiyak na walang hayop na maninira sa mga tanim.,ag/ d ang pagbabantay na ginagawa upang matiyak na walang hayop na maninira sa mga tanim.,"['24', '7']","{'24': ['ab', 'ad', 'ag', 'ah', 'ak'], '7': ['b', 'c', 'd', 'e', 'f']}"
Kasi alam po nila na ayaw kong pinag-uusapan ‘yung trabaho sa showbiz.,Kasi alam po nila na ayaw kong pinag-uusapan ‘yung trabaho sa showbiz.,Kasi alam po nila na ayaw kong pinag-uusapan ‘yung trabaho sa showbiz.,[],{}
"Sa datos ng PDEA na inilabas ngayong buwan, aabot na sa 6,229 katao ang napapatay sa mga anti-drug operations simula nang umupo si Pangulong Rodrigo Duterte, na nangako nang matinding kampanya laban sa narcotics, noong 2016.","Sa datos ng PDEA na inilabas ngayong buwan, aabot na sa 6,229 katao ang napapatay sa mga anti-drug operations simula nang umupo si Pangulong Rodrigo Duterte, na nangako nang matinding kampanya laban sa narcotics, noong 2016.","Sa datos ng ada na inilabas ngayong buwan, aabot na sa d,aal katao ang napapatay sa mga anti-drug operations simula nang umupo si Pangulong Rodrigo suwerte, na nangako nang matinding kampanya laban sa narcotics, noong aako.","['PDEA', '6', '229', 'Duterte', '2016']","{'PDEA': ['idea', 'plea', 'ada', 'adya', 'apnea'], '6': ['b', 'c', 'd', 'e', 'f'], '229': ['p25', 'aag', 'aal', 'aam', 'aat'], 'Duterte': ['butete', 'puwerte', 'suwerte', 'terte', 'bunete'], '2016': ['aaba', 'aag', 'aako', 'aal', 'aala']}"
Hindi pa rin umano maaaring maiugnay sa mas nakakahawang UK variant ang pagtaas ng COVID-19 cases sa ilang lungsod sa NCR.,Hindi pa rin umano maaaring maiugnay sa mas nakakahawang UK variant ang pagtaas ng COVID-19 cases sa ilang lungsod sa NCR.,Hindi pa rin umano maaaring maiugnay sa mas nakakahawang UK variant ang pagtaas ng COVID-ag cases sa ilang lungsod sa NCR.,['19'],"{'19': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"May mga nakalaang parusa sa lalabag sa confidentiality ng impormasyon ng mga magpaparehistro ng SIM card, magbibigay ng maling impormasyon, magnanakaw at magbebenta ng nakarehistrong SIM card, ipagagamit sa iba ang SIM nang hindi sumusunod sa itinatakda ng batas, at iba pa.","May mga nakalaang parusa sa lalabag sa confidentiality ng impormasyon ng mga magpaparehistro ng SIM card, magbibigay ng maling impormasyon, magnanakaw at magbebenta ng nakarehistrong SIM card, ipagagamit sa iba ang SIM nang hindi sumusunod sa itinatakda ng batas, at iba pa.","May mga nakalaang parusa sa lalabag sa confidentiality ng impormasyon ng mga magpaparehistro ng SIM card, magbibigay ng maling impormasyon, magnanakaw at magbebenta ng nakarehistrong SIM card, ipagagamit sa iba ang SIM nang hindi sumusunod sa itinatakda ng batas, at iba pa.",[],{}
Siguro ay may pagkakamali rin siya sa kung ano ang nangyari sa kaniyang mga pamangkin dahil tulong lang siya ng tulong at marahil nagkulang siya sa pagbibigay ng emotional support sa mga ito.,Siguro ay may pagkakamali rin siya sa kung ano ang nangyari sa kaniyang mga pamangkin dahil tulong lang siya ng tulong at marahil nagkulang siya sa pagbibigay ng emotional support sa mga ito.,Siguro ay may pagkakamali rin siya sa kung ano ang nangyari sa kaniyang mga pamangkin dahil tulong lang siya ng tulong at marahil nagkulang siya sa pagbibigay ng emotional support sa mga ito.,[],{}
"Kinilala ni P/Colonel Randy Glenn Silvio, Laguna police director, ang mga suspek na sina alias Rogelio, Edick, Randy, Cervacio, Rio, Nestor at Rolando, mga miyembro ng contract killer na pinamumunuan ng isang Jayson Cuento na umano ay siyang utak sa pagpatay sa pangulo ng isang kooperatiba sa nasabing bayan.","Kinilala ni P/Colonel Randy Glenn Silvio, Laguna police director, ang mga suspek na sina alias Rogelio, Edick, Randy, Cervacio, Rio, Nestor at Rolando, mga miyembro ng contract killer na pinamumunuan ng isang Jayson Cuento na umano ay siyang utak sa pagpatay sa pangulo ng isang kooperatiba sa nasabing bayan.","Kinilala ni P/Colonel candy clean silain, Laguna police director, ang mga suspek na sina alias polio, brick, candy, berbalin, cio, hector at bando, mga miyembro ng contract killer na pinamumunuan ng isang ason aumento na umano ay siyang utak sa pagpatay sa pangulo ng isang kooperatiba sa nasabing bayan.","['Randy', 'Glenn', 'Silvio', 'Rogelio', 'Edick', 'Randy', 'Cervacio', 'Rio', 'Nestor', 'Rolando', 'Jayson', 'Cuento']","{'Randy': ['andy', 'brandy', 'candy', 'anay', 'and'], 'Glenn': ['aleng', 'blend', 'clean', 'elena', 'galeon'], 'Silvio': ['salvo', 'silabo', 'silain', 'silbi', 'sili'], 'Rogelio': ['hubelio', 'modelo', 'polio', 'regalo', 'relic'], 'Edick': ['dick', 'adik', 'brick', 'click', 'deck'], 'Cervacio': ['certain', 'cervical', 'berbalin', 'bersatil', 'ceneco'], 'Rio': ['bio', 'brio', 'cio', 'io', 'nio'], 'Nestor': ['bettor', 'esctor', 'hector', 'investor', 'jester'], 'Rolando': ['komando', 'obando', 'bando', 'bokado', 'bolador'], 'Jayson': ['aayon', 'arson', 'ason', 'ayon', 'baysan'], 'Cuento': ['asento', 'atento', 'aumento', 'bunto', 'centro']}"
O halos P5 bilyon kumpara noong nakalipas na taon.,O halos P5 bilyon kumpara noong nakalipas na taon.,O halos p3 bilyon kumpara noong nakalipas na taon.,['P5'],"{'P5': ['p', 'p25', 'p3', 'p57', 'p75']}"
"Ayon sa kaniyang mga kapitbahay, nagbago ang lalaki nang iwan siya ng kaniyang nobya at nalaman niya na lang na nag-asawa na ito ng iba.","Ayon sa kaniyang mga kapitbahay, nagbago ang lalaki nang iwan siya ng kaniyang nobya at nalaman niya na lang na nag-asawa na ito ng iba.","Ayon sa kaniyang mga kapitbahay, nagbago ang lalaki nang iwan siya ng kaniyang nobya at nalaman niya na lang na nag-asawa na ito ng iba.",[],{}
At lahat ng masasabi ng Presidente roon sa debateng `yon ay makakaapekto sa mga polisiya ng gobyerno.,At lahat ng masasabi ng Presidente roon sa debateng `yon ay makakaapekto sa mga polisiya ng gobyerno.,At lahat ng masasabi ng Presidente roon sa debateng `yon ay makakaapekto sa mga polisiya ng gobyerno.,[],{}
"Naririnig mo yung torture ng iyak ng baby mo tas di siya makatulog tsaka yung paghinga raw sabi ni Sophie so syempre naririnig ko lang sila, kuwento niya.","Naririnig mo yung torture ng iyak ng baby mo tas di siya makatulog tsaka yung paghinga raw sabi ni Sophie so syempre naririnig ko lang sila, kuwento niya.","Naririnig mo yung torture ng iyak ng baby mo gas di siya makatulog tsaka yung paghinga raw sabi ni dolphin so disyembre naririnig ko lang sila, kuwento niya.","['tas', 'Sophie', 'syempre']","{'tas': ['as', 'atas', 'gas', 'has', 'kas'], 'Sophie': ['sortie', 'copies', 'dolphin', 'foodie', 'hiphip'], 'syempre': ['siyempre', 'yembre', 'disyembre', 'Disyembre', 'emple']}"
"Poblacion Muntinlupa City,alas-10:45 ng gabi ng Biyernes matapos makuhanan ng P374,000 na halaga ng shabu.","Poblacion Muntinlupa City,alas-10:45 ng gabi ng Biyernes matapos makuhanan ng P374,000 na halaga ng shabu.","Poblacion manlilipa City,alas-ag:ag ng gabi ng Biyernes matapos makuhanan ng p75,aam na halaga ng shabu.","['Muntinlupa', '10', '45', 'P374', '000']","{'Muntinlupa': ['gantindusa', 'maninipa', 'manlilipa', 'mantilya', 'munisipa'], '10': ['ab', 'ad', 'ag', 'ah', 'ak'], '45': ['ab', 'ad', 'ag', 'ah', 'ak'], 'P374': ['p3', 'p57', 'p75', 'p', 'p25'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
"Noong sanay na ako, kaya ko nang mag-sprint, na-e-enjoy ko na.","Noong sanay na ako, kaya ko nang mag-sprint, na-e-enjoy ko na.","Noong sanay na ako, kaya ko nang mag-sprint, na-e-enjoy ko na.",[],{}
Kailangan gutom kami palagi.,Kailangan gutom kami palagi.,Kailangan gutom kami palagi.,[],{}
"Tinukoy rin ito ng European Center for Disease Prevention and Control bilang “variant of interest”, habang ang ayon sa US Centers for Disease Control and Prevention, ang naturang subvariant ang bumubuo sa 66.4%.","Tinukoy rin ito ng European Center for Disease Prevention and Control bilang “variant of interest”, habang ang ayon sa US Centers for Disease Control and Prevention, ang naturang subvariant ang bumubuo sa 66.4%.","Tinukoy rin ito ng aeroplano Center for Disease Prevention and Control bilang “variant of interest”, habang ang ayon sa US Centers for Disease Control and Prevention, ang naturang subvariant ang bumubuo sa ag.d%.","['European', '66', '4']","{'European': ['eroplano', 'kurapan', 'aeroplano', 'atropya', 'atropyang'], '66': ['ab', 'ad', 'ag', 'ah', 'ak'], '4': ['b', 'c', 'd', 'e', 'f']}"
Inamin din ni Karen na lahat ng kinita niya noong “TV Patrol” days niya ay itinabi niya hanggang sa “Bandila” since wala siyang luho sa katawan at matagal bago niya naisip itong gastusin at mag-travel sa ibang bansa kasama ang pamilya.,Inamin din ni Karen na lahat ng kinita niya noong “TV Patrol” days niya ay itinabi niya hanggang sa “Bandila” since wala siyang luho sa katawan at matagal bago niya naisip itong gastusin at mag-travel sa ibang bansa kasama ang pamilya.,Inamin din ni karon na lahat ng kinita niya noong “TV Patrol” days niya ay itinabi niya hanggang sa “Bandila” since wala siyang luho sa katawan at matagal bago niya naisip itong gastusin at mag-travel sa ibang bansa kasama ang pamilya.,['Karen'],"{'Karen': ['kare', 'karent', 'karon', 'aamen', 'amen']}"
"Ayon sa naglabasang ulat sa social media, nagdesis-yon si Hill na hindi na gamitin ang kanyang final playing year sa Green Archers upang pumasok sa pro level.","Ayon sa naglabasang ulat sa social media, nagdesis-yon si Hill na hindi na gamitin ang kanyang final playing year sa Green Archers upang pumasok sa pro level.","Ayon sa naglabasang ulat sa social media, nagahis-yon si fill na hindi na gamitin ang kanyang final playing year sa Green abusers upang pumasok sa pro level.","['nagdesis', 'Hill', 'Archers']","{'nagdesis': ['magdais', 'nadismis', 'nagahis', 'nagbasio', 'nagbatis'], 'Hill': ['bill', 'chill', 'fill', 'gill', 'hall'], 'Archers': ['chers', 'watchers', 'abusers', 'acces', 'access']}"
Larap ang tatlo na palutang lutang sa karagatan at agad nilang dinala sa pinakamalapit na pampang ng Brgy.,Larap ang tatlo na palutang lutang sa karagatan at agad nilang dinala sa pinakamalapit na pampang ng Brgy.,lanap ang tatlo na palutang lutang sa karagatan at agad nilang dinala sa pinakamalapit na pampang ng Brgy.,['Larap'],"{'Larap': ['harap', 'lagap', 'lanap', 'laraw', 'lasap']}"
"Kasi hindi pwedeng don ka lang magse-stay, mauubos ka.","Kasi hindi pwedeng don ka lang magse-stay, mauubos ka.","Kasi hindi pwedeng don ka lang magse-stay, mauubos ka.",[],{}
Ginagawa naman nila yan kahit nasa pandemya pa rin tayo.,Ginagawa naman nila yan kahit nasa pandemya pa rin tayo.,Ginagawa naman nila yan kahit nasa pandemya pa rin tayo.,[],{}
"Ang nasabing mga atleta ay naghahanda para sa 2021 Olympic Games sa Tokyo, Japan sa Hulyo at sa 31st Southeast Asian Games sa Hanoi, Vietnam sa Nobyembre.","Ang nasabing mga atleta ay naghahanda para sa 2021 Olympic Games sa Tokyo, Japan sa Hulyo at sa 31st Southeast Asian Games sa Hanoi, Vietnam sa Nobyembre.","Ang nasabing mga atleta ay naghahanda para sa aag lampin Games sa toyo, aaman sa Hulyo at sa best Southeast asiman Games sa angi, Vietnam sa Nobyembre.","['2021', 'Olympic', 'Tokyo', 'Japan', '31st', 'Asian', 'Hanoi']","{'2021': ['p25', 'aaba', 'aag', 'aako', 'aal'], 'Olympic': ['olympics', 'lampik', 'lampin', 'limpi', 'limpik'], 'Tokyo': ['tokayo', 'toryo', 'toyo', 'bosyo', 'hoyo'], 'Japan': ['apan', 'sapan', 'aaman', 'aapa', 'aapain'], '31st': ['asst', 'ast', 'best', 'bust', 'cast'], 'Asian': ['arian', 'asias', 'asiman', 'asin', 'asinan'], 'Hanoi': ['aani', 'aano', 'angi', 'ani', 'ano']}"
So valid ang contract pero mag-apply sa inyong lahat ang penalty kapag ginawa niya yung mga pinagbabawal.,So valid ang contract pero mag-apply sa inyong lahat ang penalty kapag ginawa niya yung mga pinagbabawal.,So valid ang contract pero mag-apply sa inyong lahat ang penalty kapag ginawa niya yung mga pinagbabawal.,[],{}
Mahirap at masakit ang pinagdaraanan ng mga babaeng dinadalaw ng regla buwan-buwan na siyang nakaaapekto sa kanilang mga kailangang gawin — dahilan para ipanukala ng Gabriela Womens Party sa Kamara na bigyan sila ng dalawang araw kada buwan kung kailan maaaring lumiban nang bayad sa trabaho.,Mahirap at masakit ang pinagdaraanan ng mga babaeng dinadalaw ng regla buwan-buwan na siyang nakaaapekto sa kanilang mga kailangang gawin — dahilan para ipanukala ng Gabriela Womens Party sa Kamara na bigyan sila ng dalawang araw kada buwan kung kailan maaaring lumiban nang bayad sa trabaho.,Mahirap at masakit ang pinagdaraanan ng mga babaeng dinadalaw ng regla buwan-buwan na siyang nakaaapekto sa kanilang mga kailangang gawin — dahilan para ipanukala ng Gabriela Womens Party sa Kamara na bigyan sila ng dalawang araw kara buwan kung kailan maaaring lumiban nang bayad sa trabaho.,[],{}
Tiniyak din ng opisyal ang kahandaan ng kanilang tanggapan na tumugon sa pangangailangan ng mga OFW kahit sa hindi inaasahang pagkakataon.,Tiniyak din ng opisyal ang kahandaan ng kanilang tanggapan na tumugon sa pangangailangan ng mga OFW kahit sa hindi inaasahang pagkakataon.,Tiniyak din ng opisyal ang kahandaan ng kanilang tanggapan na tumugon sa pangangailangan ng mga aaw kahit sa hindi inaasahang pagkakataon.,['OFW'],"{'OFW': ['of', 'off', 'aaw', 'arw', 'aw']}"
Kasabay rin ito ng ika-50 anibersaryo ng PAO sa darating na Oktubre 22.,Kasabay rin ito ng ika-50 anibersaryo ng PAO sa darating na Oktubre 22.,Kasabay rin ito ng ika-ag anibersaryo ng PAO sa darating na Oktubre ag.,"['50', '22']","{'50': ['ab', 'ad', 'ag', 'ah', 'ak'], '22': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Nagbigay naman ng reaksyon si Barbie sa kanyang Instagam Stories tungkol sa mga nabitawang salita ng aktor.,Nagbigay naman ng reaksyon si Barbie sa kanyang Instagam Stories tungkol sa mga nabitawang salita ng aktor.,Nagbigay naman ng reaksyon si Barbie sa kanyang inagam Stories tungkol sa mga bibitawang salita ng aktor.,"['Instagam', 'nabitawang']","{'Instagam': ['instagram', 'inaagam', 'inagam', 'bastagan', 'binitagan'], 'nabitawang': ['nabitawan', 'nabitiwang', 'bibitawang', 'bitawang', 'mabitiwang']}"
Ang Baliwag ang ika-147 lungsod ng Pilipinas at kasama na sa 109 na Component Cities sa bansa.,Ang Baliwag ang ika-147 lungsod ng Pilipinas at kasama na sa 109 na Component Cities sa bansa.,Ang Baliwag ang ika-aal lungsod ng Pilipinas at kasama na sa aam na Component Cities sa bansa.,"['147', '109']","{'147': ['p57', 'aag', 'aal', 'aam', 'aat'], '109': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
Ginawa ni Angel ang naturang community pantry kasabay ng pagdiriwang sa kaniyang kaarawan at hangarin niyang makatulong ngayong panahon ng pandemiya.--FRJ.,Ginawa ni Angel ang naturang community pantry kasabay ng pagdiriwang sa kaniyang kaarawan at hangarin niyang makatulong ngayong panahon ng pandemiya.--FRJ.,Ginawa ni anghel ang naturang community pantry kasabay ng pagdiriwang sa kaniyang kaarawan at hangarin niyang makatulong ngayong panahon ng pandemiya.--ari.,"['Angel', 'FRJ']","{'Angel': ['angal', 'anger', 'anghel', 'angil', 'aangal'], 'FRJ': ['ar', 'are', 'ari', 'arm', 'art']}"
"Para sa mga taong tatamaan na ng ""life threatening"" heat stroke, maaari naman daw gawin ang sumusunod.","Para sa mga taong tatamaan na ng ""life threatening"" heat stroke, maaari naman daw gawin ang sumusunod.","Para sa mga taong tatamaan na ng ""life threatening"" heat stroke, maaari naman daw gawin ang sumusunod.",[],{}
"Trilyon ang ""outstanding debt"" ng gobyerno ng Pilipinas sa pagtatapos ng Oktubre 2022, bagay na nangyayari sa gitna ng 14-year high inflation rate at kontrobersyal na panukalang Maharlika Wealth Fund.","Trilyon ang ""outstanding debt"" ng gobyerno ng Pilipinas sa pagtatapos ng Oktubre 2022, bagay na nangyayari sa gitna ng 14-year high inflation rate at kontrobersyal na panukalang Maharlika Wealth Fund.","Trilyon ang ""outstanding debt"" ng gobyerno ng Pilipinas sa pagtatapos ng Oktubre aag, bagay na nangyayari sa gitna ng ag-year high inflation rate at kontrobersyal na panukalang Maharlika Wealth Fund.","['2022', '14']","{'2022': ['p25', 'aaba', 'aag', 'aako', 'aal'], '14': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Talagang feel ko na ang lahat ay ginagawa ni Mayor Joy Belmonte para maging maayos ang kalagayan ng mga taga-QC kahit pa nga alam ng lahat na buong mundo ang may problema sa pandemic.,Talagang feel ko na ang lahat ay ginagawa ni Mayor Joy Belmonte para maging maayos ang kalagayan ng mga taga-QC kahit pa nga alam ng lahat na buong mundo ang may problema sa pandemic.,Talagang feel ko na ang lahat ay ginagawa ni Mayor job bente para maging maayos ang kalagayan ng mga taga-oc kahit pa nga alam ng lahat na buong mundo ang may problema sa pandemic.,"['Joy', 'Belmonte', 'QC']","{'Joy': ['boy', 'jay', 'job', 'koy', 'noy'], 'Belmonte': ['beinte', 'belong', 'bente', 'bolante', 'bulante'], 'QC': ['c', 'cc', 'oc', 'q', 'ab']}"
"Sa ulat, nabatid na ang biktima ay naiwang mag-isa sa kanilang bahay at nang dumating ang tiyuhin ay niyaya itong kumain.","Sa ulat, nabatid na ang biktima ay naiwang mag-isa sa kanilang bahay at nang dumating ang tiyuhin ay niyaya itong kumain.","Sa ulat, nabatid na ang biktima ay naiwang mag-isa sa kanilang bahay at nang dumating ang tiyuhin ay niyaya itong kumain.",[],{}
"Pagkatapos maging manager, ngayon ay mag-dyowa na raw sila.","Pagkatapos maging manager, ngayon ay mag-dyowa na raw sila.","Pagkatapos maging manager, ngayon ay mag-dyowa na raw sila.",[],{}
"Naramdaman niyo kung paano kayo alagaan ng isang tatay, kung paano kayo gabayan.’","Naramdaman niyo kung paano kayo alagaan ng isang tatay, kung paano kayo gabayan.’","Naramdaman nido kung paano kayo alagaan ng isang tatay, kung paano kayo gabayan.’",['niyo'],"{'niyo': ['iyo', 'liyo', 'nido', 'nigo', 'nino']}"
"Nang iwan siya ng kanyang boyfriend, nakilala niya si Dan (Gardo Versoza), isang lalaki na hiwalay sa kanyang asawa at may dalawang anak.","Nang iwan siya ng kanyang boyfriend, nakilala niya si Dan (Gardo Versoza), isang lalaki na hiwalay sa kanyang asawa at may dalawang anak.","Nang iwan siya ng kanyang boyfriend, nakilala niya si can (aarko bersa), isang lalaki na hiwalay sa kanyang asawa at may dalawang anak.","['Dan', 'Gardo', 'Versoza']","{'Dan': ['an', 'ban', 'can', 'da', 'daan'], 'Gardo': ['garbo', 'pardo', 'aarko', 'apdo', 'arko'], 'Versoza': ['persona', 'versa', 'bersa', 'berso', 'bersong']}"
"Ayon Bea, nanatili silang magkaibigan ni Zanjoe kahit nang maghiwalay sila.","Ayon Bea, nanatili silang magkaibigan ni Zanjoe kahit nang maghiwalay sila.","Ayon beam, nanatili silang magkaibigan ni aantot kahit nang maghiwalay sila.","['Bea', 'Zanjoe']","{'Bea': ['ba', 'be', 'beam', 'bear', 'beat'], 'Zanjoe': ['aano', 'aantok', 'aantot', 'aanyo', 'aloe']}"
"Multang hindi bababa sa P500,000 hanggang P1 milyon, walong taong pagkulong o pareho sa susunod pang paglabag.","Multang hindi bababa sa P500,000 hanggang P1 milyon, walong taong pagkulong o pareho sa susunod pang paglabag.","Multang hindi bababa sa p25,aam hanggang pa milyon, walong taong pagkulong o pareho sa susunod pang paglabag.","['P500', '000', 'P1']","{'P500': ['p57', 'p', 'p25', 'p3', 'p75'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw'], 'P1': ['p', 'p3', 'pa', 'pg', 'ph']}"
"Ayon kay Tulfo kung sino-sino lamang ang binigyan ng form ng mga enumerator sa panahon ni dating Pangulong Gloria Macapagal Arroyo noong 2009 kaya ang resulta ay may mga nakakatanggap ng tulong sa ilalim ng 4Ps na hindi talaga mahihirap, kabilang dito ang mga guro, ang ilan ay may mga negosyo habang ang ilan ay nagtatrabaho pa sa ibang bansa.","Ayon kay Tulfo kung sino-sino lamang ang binigyan ng form ng mga enumerator sa panahon ni dating Pangulong Gloria Macapagal Arroyo noong 2009 kaya ang resulta ay may mga nakakatanggap ng tulong sa ilalim ng 4Ps na hindi talaga mahihirap, kabilang dito ang mga guro, ang ilan ay may mga negosyo habang ang ilan ay nagtatrabaho pa sa ibang bansa.","Ayon kay Tulfo kung sino-sino lamang ang binigyan ng form ng mga numerado sa panahon ni dating Pangulong florita mapatagal aabono noong aako kaya ang resulta ay may mga nakakatanggap ng tulong sa ilalim ng ads na hindi talaga mahihirap, kabilang dito ang mga guro, ang ilan ay may mga negosyo habang ang ilan ay nagtatrabaho pa sa ibang bansa.","['enumerator', 'Gloria', 'Macapagal', 'Arroyo', '2009', '4Ps']","{'enumerator': ['enumeration', 'generator', 'numerado', 'denominator', 'educator'], 'Gloria': ['glorya', 'flora', 'florita', 'galeria', 'glory'], 'Macapagal': ['makatagal', 'mapabagal', 'mapatagal', 'matatagal', 'maaagad'], 'Arroyo': ['agrayo', 'armonyo', 'aabono', 'aaboy', 'aadyo'], '2009': ['aaba', 'aag', 'aako', 'aal', 'aala'], '4Ps': ['ops', 'ups', 'ads', 'als', 'ap']}"
"Sa ulat, dakong ala-1 ng madaling araw habang rumoronda ang mga kasapi ng Provincial Mobile Force Company, Guinobatan Municipal Police, Regional Mobile Force Battalion 5, Criminal Investigation and Detection Group, Regional Intelligence Unit 5, 93 Special Action Company ng Special Action Force, 97th Military Intelligence Company at 49th Infantry Battalion ng Philippine Army nang maaktuhan nila ang mga suspek na nagsusulat sa railing ng tulay ng mga katagang “DUTERTE IBAGSAK” gamit ang spray paint.","Sa ulat, dakong ala-1 ng madaling araw habang rumoronda ang mga kasapi ng Provincial Mobile Force Company, Guinobatan Municipal Police, Regional Mobile Force Battalion 5, Criminal Investigation and Detection Group, Regional Intelligence Unit 5, 93 Special Action Company ng Special Action Force, 97th Military Intelligence Company at 49th Infantry Battalion ng Philippine Army nang maaktuhan nila ang mga suspek na nagsusulat sa railing ng tulay ng mga katagang “DUTERTE IBAGSAK” gamit ang spray paint.","Sa ulat, dakong ala-d ng maraling araw habang rumoronda ang mga kasapi ng Provincial Mobile Force Company, inabatan Municipal Police, Regional Mobile Force Battalion d, Criminal Investigation and Detection Group, Regional Intelligence Unit d, ad Special Action Company ng Special Action Force, meth Military Intelligence Company at meth Infantry Battalion ng Philippine Army nang maaktuhan nila ang mga suspek na nagsusulat sa railing ng tulay ng mga katagang “suwerte IBAGSAK” gamit ang spray paing.","['1', 'Guinobatan', '5', '5', '93', '97th', '49th', 'DUTERTE', 'paint']","{'1': ['b', 'c', 'd', 'e', 'f'], 'Guinobatan': ['ginabayan', 'ginatan', 'inabatan', 'prinobahan', 'sinabatan'], '5': ['b', 'c', 'd', 'e', 'f'], '93': ['p3', 'ab', 'ad', 'ag', 'ah'], '97th': ['both', 'math', 'meth', 'myth', 'oath'], '49th': ['both', 'math', 'meth', 'myth', 'oath'], 'DUTERTE': ['butete', 'puwerte', 'suwerte', 'terte', 'bunete'], 'paint': ['pain', 'paina', 'paing', 'painit', 'pains']}"
"Dati nang napupuna ang bilyun-bilyong pagkalugi ng mga Pinoy na magsasaka dahil sa pagli-liberalisa ng industriya ng palay, na siyang bumaha sa merkado ng imported rice mula sa ibang bansa kapalit ng taripa.","Dati nang napupuna ang bilyun-bilyong pagkalugi ng mga Pinoy na magsasaka dahil sa pagli-liberalisa ng industriya ng palay, na siyang bumaha sa merkado ng imported rice mula sa ibang bansa kapalit ng taripa.","Dati nang napupuna ang bilyun-bilyong pagkalugi ng mga Pinoy na magsasaka dahil sa pagli-liberalisa ng industriya ng palay, na siyang bumaha sa merkado ng imported rice mula sa ibang bansa kapalit ng taripa.",[],{}
"Nakakumpiska rin ang mga pulis nang mahigit sa 5,000 gramo ng shabu at mahigit sa 375,000 gramo ng marijuana, na tinatayang nagkakahalaga ng P79 milyon.","Nakakumpiska rin ang mga pulis nang mahigit sa 5,000 gramo ng shabu at mahigit sa 375,000 gramo ng marijuana, na tinatayang nagkakahalaga ng P79 milyon.","Nakakumpiska rin ang mga pulis nang mahigit sa d,aam gramo ng shabu at mahigit sa aag,aam gramo ng marijuana, na tinatayang nagkakahalaga ng p25 milyon.","['5', '000', '375', '000', 'P79']","{'5': ['b', 'c', 'd', 'e', 'f'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw'], '375': ['p75', 'p25', 'aag', 'aal', 'aam'], 'P79': ['p75', 'p', 'p25', 'p3', 'p57']}"
