Sentence,Rough_POS,Detailed_POS,Lemmatized_Sentence
Una nang sinabi ni Sen. Bato dela Rosa na siya ang mamumuno sa pag-iimbestiga pero marami ang tumutol dahil “self serving”.,CD.* RB.* VB.* DT.* NN.* NN.* FW NN.* CC.* PR.* DT.* VB.* CC.* CC.* PM.* VB.* CC.* PR.* DT.* VB.* CC.* PM.* FW FW PM.* PM.*,CDB RBW VBTS DTP NNPA NNP FW NNP CCP PRS DTC VBW CCT CCR PMS VBTF CCT PRI DTC VBAF CCR PMS FW FW PMS PMP,una nang sabi ni sen. bato dela rosa na siya ang mamumuno sa imbestiga pero dami ang tutol dahil “self serving”.,
Ang unang tumutol ay si Senate President Chiz Escudero.,DT.* JJ.*_CC.* VB.* LM DT.* NN.* NN.* NN.* NN.* PM.*,DTC JJN_CCP VBAF LM DTP NNP NNP NNP NNP PMP,ang una tutol ay si senate president chiz escudero.,
Kaya napagkasunduan na ang Senate Blue Ribbon ang magsasagawa.,CC.* VB.* RB.* DT.* NN.* NN.* NN.* DT.* VB.* PM.*,CCR VBTS RBI DTC NNP NNP NNP DTC VBTF PMP,kaya napagkasunduan na ang senate blue ribbon ang magsasagawa.,
Hinihiling naman ng Senado kay Duterte na magpakita o dumalo ito sa nasabing pagdinig.,VB.* RB.* CC.* NN.* DT.* NN.* CC.* VB.* CC.* VB.* PR.* CC.* VB.*_CC.* NN.* PM.*,VBTR RBI CCB NNP DTP NNP CCP VBAF CCT VBAF PRO CCT VBTS_CCP NNC PMP,hiling naman ng senado kay duterte na kita o dalo ito sa sabi pagdinig.,
Hindi naman kaila sa lahat na hindi sinipot ni Duterte ang imbitasyon ng House quad committee ukol pa rin sa EJKs noong Lunes.,RB.* RB.* NN.* CC.* PR.* CC.* RB.* VB.* DT.* NN.* DT.* NN.* CC.* NN.* FW FW NN.* RB.* RB.* CC.* NN.* RB.*_CC.* NN.* PM.*,RBF RBI NNC CCT PRI CCP RBF VBTS DTP NNP DTC NNC CCB NNP FW FW NNC RBI RBI CCT NNPA RBW_CCP NNP PMP,hindi naman kaila sa lahat na hindi sipot ni duterte ang imbitasyon ng house quad committee ukol pa rin sa ejks noo lunes.,
Sinabi ni Duterte na hindi maganda ang kanyang pakiramdam ng araw na iyon.,VB.* DT.* NN.* CC.* RB.* JJ.* DT.* PR.*_CC.* NN.* CC.* NN.* CC.* PR.* PM.*,VBTS DTP NNP CCP RBF JJD DTC PRSP_CCP NNC CCB NNC CCP PRO PMP,sabi ni duterte na hindi anda ang kanya pakiramdam ng araw na iyon.,
Kagagaling lang daw niya sa biyahe sa Maynila kung saan marami siyang mga okasyong dinaluhan.,JJ.* RB.* RB.* PR.* CC.* NN.* CC.* NN.* RB.* RB.* PR.* PR.*_CC.* DT.* NN.*_CC.* VB.*_VB.* PM.*,JJD RBI RBI PRS CCT NNC CCT NNP RBK RBQ PRI PRS_CCP DTCP NNC_CCP VBTS_VBOF PMP,galing lang daw niya sa biyahe sa maynila kung saan dami siya mga okasyong dinaluhan.,
Kaya sa darating na Miyerkules ang tanong ay kung dadalo ba sa pagdinig ng Senado si Duterte o hindi?,CC.* CC.* NN.* CC.* NN.* DT.* NN.* LM CC.* VB.* RB.* CC.* NN.* CC.* NN.* DT.* NN.* CC.* RB.* PM.*,CCR CCT NNC CCP NNP DTC NNC LM CCR VBTF RBI CCT NNC CCB NNP DTP NNP CCT RBF PMQ,kaya sa darating na miyerkules ang tanong ay kung dalo ba sa dinig ng senado si duterte o hindi?,
Ang Sierra Madre mountain range ang nagbibigay ng proteksiyon sa 10 probinsiya mula Cagayan hanggang Quezon sa mga bagyong nagmumula sa Pacific Ocean.,DT.* NN.* NN.* FW FW DT.* VB.* CC.* NN.* CC.* CD.* NN.* RB.* NN.* RB.* NN.* CC.* DT.* NN.*_CC.* VB.* CC.* NN.* NN.* PM.*,DTC NNP NNP FW FW DTC VBTR CCB NNC CCT CDB NNC RBW NNP RBW NNP CCT DTCP NNC_CCP VBTR CCT NNP NNP PMP,ang sierra madre mountain range ang bigay ng proteksiyon sa 10 probinsiya mula cagayan hanggang quezon sa mga bagyo mula sa pacific ocean.,
"Tahanan ang Sierra Madre ng halos 40 percent ng forest cover ng Pilipinas at ng mayamang biodiversity na 3,500 plant species, 58 percent dito ay katutubo.",NN.* DT.* NN.* NN.* CC.* JJ.* CD.* FW CC.* FW FW CC.* NN.* CC.* CC.* JJ.*_CC.* FW CC.* CD.* PM.* CD.* FW FW PM.* CD.* FW PR.* LM NN.* PM.*,NNC DTC NNP NNP CCB JJD CDB FW CCB FW FW CCB NNP CCA CCB JJD_CCP FW CCP CDB PMC CDB FW FW PMC CDB FW PRL LM NNC PMP,"tahanan ang sierra madre ng halos 40 percent ng forest cover ng pilipinas at ng mayamang biodiversity na 3,500 plant species, 58 percent dito ay katutubo.",
Nagsisilbi rin itong carbon sink dahil sumisipsip sa carbon dioxide sa kalawakan na nakakatulong upang matimpla ang temperatura ng panahon.,VB.* RB.* PR.*_CC.* FW FW CC.* VB.* CC.* FW FW CC.* NN.* CC.* VB.* CC.* VB.* DT.* NN.* CC.* NN.* PM.*,VBTR RBI PRO_CCP FW FW CCR VBAF CCT FW FW CCT NNC CCP VBTR CCB VBW DTC NNC CCB NNC PMP,silbi rin ito carbon sink dahil sipsip sa carbon dioxide sa lawak na tulong upang timpla ang temperatura ng panahon.,
Ang kahalagahan ng Sierra Madre ay napatunayan nang manalasa ang Bagyong Kristine sa Southern at Northern Luzon.,DT.* NN.* CC.* NN.* NN.* LM VB.* RB.* VB.* DT.* NN.* NN.* CC.* NN.* CC.* NN.* NN.* PM.*,DTC NNC CCB NNP NNP LM VBTS RBW VBW DTC NNP NNP CCT NNP CCA NNP NNP PMP,ang halaga ng sierra madre ay tunay nang lasa ang bagyo kristine sa southern at northern luzon.,
"Dahil sa ginawang proteksiyon ng Sierra Madre, marami ang nagsumamo, kabilang ang mga opisyal ng pamahalaan, na alagaan at isalba ang mountain range.",CC.* CC.* VB.*_CC.* NN.* CC.* NN.* NN.* PM.* PR.* DT.* VB.* PM.* CC.* DT.* DT.* NN.* CC.* NN.* PM.* CC.* VB.* CC.* VB.* DT.* FW FW PM.*,CCR CCT VBOF_CCP NNC CCB NNP NNP PMC PRI DTC VBTS PMC CCB DTC DTCP NNC CCB NNC PMC CCP VBOF CCA VBOF DTC FW FW PMP,"dahil sa gawa proteksiyon ng sierra madre, dami ang nagsumamo, kabila ang mga opisyal ng pamahalaan, na alaga at salba ang mountain range.",
"Sinisira ang Sierra Madre ng mga proyektong Kaliwa Dam sa Rizal-Quezon boundary, Ahunan Dam sa Laguna, at Pacific Coast Cities Project (PCCP).",VB.* DT.* NN.* NN.* CC.* DT.* NN.*_CC.* NN.* NN.* CC.* NN.* PM.* NN.* FW PM.* NN.* NN.* CC.* NN.* PM.* CC.* NN.* NN.* NN.* NN.* NN.* NN.* NN.* PM.*,VBTR DTC NNP NNP CCB DTCP NNC_CCP NNP NNP CCT NNP PMS NNP FW PMC NNP NNP CCT NNP PMC CCA NNP NNP NNP NNP NNPA NNPA NNPA PMP,"sira ang sierra madre ng mga proyekto kaliwa dam sa rizal-quezon boundary, ahunan dam sa laguna, at pacific coast cities project (pccp).",
"Apektado ang 80,000 ektarya ng Sierra Madre sa Dingalan, Aurora at General Nakar, Quezon sa planong industrial at economic zones, educational centers at tourism areas.",JJ.* DT.* CD.* PM.* CD.* NN.* CC.* NN.* NN.* CC.* NN.* PM.* NN.* CC.* NN.* NN.* PM.* NN.* CC.* NN.*_CC.* FW CC.* FW FW PM.* FW FW CC.* NN.* FW PM.*,JJD DTC CDB PMC CDB NNC CCB NNP NNP CCT NNP PMC NNP CCA NNP NNP PMC NNP CCT NNC_CCP FW CCA FW FW PMC FW FW CCA NNC FW PMP,"apektado ang 80,000 ektarya ng sierra madre sa dingalan, aurora at general nakar, quezon sa plano industrial at economic zones, educational centers at tourism areas.",
Banta rin ito sa kabuhayan ng mga katutubong Dumagat sa lugar dahil aagawan sila ng lupa.,NN.* RB.* PR.* CC.* NN.* CC.* DT.* JJ.*_CC.* NN.* CC.* NN.* CC.* VB.* PR.* CC.* NN.* PM.*,NNC RBI PRO CCT NNC CCB DTCP JJD_CCP NNP CCT NNC CCR VBTF PRP CCB NNC PMP,banta rin ito sa buhay ng mga tubo dagat sa lugar dahil aagawan sila ng lupa.,
Papaliit na ang flora at fauna ng Siera Madre dahil sa pagtatayo ng Kaliwa Dam kung saan 67 endangered species ang nasa lugar.,RB.* CC.* DT.* FW CC.* FW CC.* NN.* NN.* CC.* CC.* NN.* CC.* NN.* NN.* RB.* RB.* CD.* FW FW DT.* RB.* NN.* PM.*,RBD CCP DTC FW CCA FW CCB NNP NNP CCR CCT NNC CCB NNP NNP RBK RBQ CDB FW FW DTC RBL NNC PMP,liit na ang flora at fauna ng siera madre dahil sa tayo ng kaliwa dam kung saan 67 endangered species ang nasa lugar.,
Ang 1400-megawatt Ahunan Hydropower Project ay magpapalala sa pagbaha tuwing tag-bagyo.,DT.* CD.* PM.* NN.* NN.* NN.* NN.* LM VB.* CC.* VB.* RB.* FW PM.* NN.* PM.*,DTC CDB PMS NNC NNP NNP NNP LM VBTF CCT VBW RBW FW PMS NNC PMP,ang 1400-megawatt ahunan hydropower project ay lala sa baha tuwi tag-bagyo.,
Magtulung-tulong para maisalba ang Sierra Madre.,VB.* PM.* NN.* CC.* VB.* DT.* NN.* NN.* PM.*,VBTF PMS NNC CCT VBW DTC NNP NNP PMP,tulo para salba ang sierra madre.,
Huwag hayaang masira at mawasak ang nagpuprotekta sa Luzon sa tuwing may mananalasang bagyo.,RB.* VB.*_CC.* VB.* CC.* VB.* DT.* VB.* CC.* NN.* CC.* RB.* VB.* VB.*_CC.* NN.* PM.*,RBF VBOF_CCP VBW CCA VBW DTC VBTS CCT NNP CCT RBW VBH VBW_CCP NNC PMP,huwag hayaang sira at wasak ang nagpuprotekta sa luzon sa tuwi may mananalasang bagyo.,
"Dapat makasuhan at makulong ang mga pumatay, nagpayaman, at naghari-harian sa ngalan ng impunity",VB.* VB.* CC.* VB.* DT.* DT.* VB.* PM.* VB.* PM.* CC.* VB.* PM.* NN.* CC.* NN.* CC.* NN.*,VBS VBW CCA VBW DTC DTCP VBAF PMC VBTS PMC CCA VBTS PMS NNC CCT NNC CCB NNC,"dapat makasuhan at kulo ang mga pumatay, nagpayaman, at hari sa ngalan ng impunity",
"Parang jigsaw puzzle, nabubuo na ang larawan ng mafia network ni dating pangulo Rodrigo Duterte.",CC.* FW FW PM.* VB.* CC.* DT.* NN.* CC.* FW FW DT.* JJ.*_CC.* NN.* NN.* NN.* PM.*,CCT FW FW PMC VBTR CCP DTC NNC CCB FW FW DTP JJD_CCP NNC NNP NNP PMP,"parang jigsaw puzzle, nabubuo na ang larawan ng mafia network ni dating pangulo rodrigo duterte.",
“Mosaic of gore and plunder” ang tawag nga riyan ni Inday Espina-Varona.,PM.* NN.* FW FW FW FW PM.* DT.* NN.* RB.* NN.* DT.* NN.* NN.* PM.* NN.* PM.*,PMS NNP FW FW FW FW PMS DTC NNC RBI NNC DTP NNP NNP PMS NNP PMP,“mosaic of gore and plunder” ang tawag nga riyan ni inday espina-varona.,
"Tulad ng isang gangster organization, susi ang mga “loyal lieutenant” ng mafia boss.",JJ.* CC.* PR.*_CC.* FW FW PM.* NN.* DT.* DT.* FW FW FW PM.* CC.* FW FW PM.*,JJC CCB PRI_CCP FW FW PMC NNC DTC DTCP FW FW FW PMS CCB FW FW PMP,"tulad ng isa gangster organization, susi ang mga “loyal lieutenant” ng mafia boss.",
"Pero ang gangster organization na ito, naka-embed sa gobyerno, at ang pangulo ang pinuno ng shadow organization na tinaguriang Davao Death Squad (DDS).",CC.* DT.* FW FW CC.* PR.* PM.* VB.* PM.* FW CC.* NN.* PM.* CC.* DT.* NN.* DT.* NN.* CC.* FW FW CC.* VB.*_CC.* NN.* NN.* NN.* NN.* NN.* NN.* PM.*,CCT DTC FW FW CCP PRO PMC VBTS PMS FW CCT NNC PMC CCA DTC NNC DTC NNC CCB FW FW CCP VBTS_CCP NNP NNP NNP NNPA NNP NNPA PMP,"pero ang gangster organization na ito, naka-embed sa gobyerno, at ang pangulo ang puno ng shadow organization na tinaguriang davao death squad (dds).",
Dito pumapasok ang papel ng mga pinagkakatiwalaang DDS cops tulad ni retired police colonel Royina Garma at Napolcom Commissioner Edilberto Leonardo.,PR.* VB.*_VB.* DT.* NN.* CC.* DT.* VB.*_CC.* NN.* FW JJ.* DT.* FW FW FW NN.* NN.* CC.* NN.* NN.* NN.* NN.* PM.*,PRL VBTR_VBAF DTC NNC CCB DTCP VBRF_CCP NNPA FW JJC DTP FW FW FW NNP NNP CCA NNP NNP NNP NNP PMP,dito pasok ang papel ng mga pinagkakatiwalaang dds cops tulad ni retired police colonel royina garma at napolcom commissioner edilberto leonardo.,
"Sa isang quad committee hearing ng Kamara noong Setyembre 27, itinuro ni Police Lieutenant Colonel Santie Mendoza bilang mastermind sa pagpatay ni Philippine Charity Sweepstakes Office (PCSO) board secretary Wesley Barayuga sina Leonardo at Garma na general manager noon.",CC.* PR.*_CC.* FW FW FW CC.* NN.* RB.*_CC.* NN.* CD.* PM.* VB.* DT.* NN.* NN.* NN.* NN.* NN.* CC.* VB.* CC.* VB.* DT.* NN.* NN.* NN.* NN.* NN.* NN.* NN.* FW FW NN.* NN.* DT.* NN.* CC.* NN.* CC.* FW FW RB.* PM.*,CCT PRI_CCP FW FW FW CCB NNP RBW_CCP NNP CDB PMC VBTS DTP NNP NNP NNP NNP NNP CCT VBW CCT VBW DTP NNP NNP NNP NNP NNPA NNPA NNPA FW FW NNP NNP DTPP NNP CCA NNP CCP FW FW RBW PMP,"sa isa quad committee hearing ng kamara noo setyembre 27, turo ni police lieutenant colonel santie mendoza bilang mastermind sa patay ni philippine charity sweepstakes office (pcso) board secretary wesley barayuga sina leonardo at garma na general manager noon.",
Sinabi ni dating PCSO chair Anselmo Simeon Pinilo sa hearing ng quadcom na malamang na motibo sa pagpatay kay Barayuga ang pagtanggi nitong mag-issue ng certificates para sa bagong small town lottery (STL) franchises.,VB.* DT.* JJ.*_CC.* NN.* FW NN.* NN.* NN.* CC.* FW CC.* FW CC.* VB.* CC.* NN.* CC.* NN.* DT.* NN.* DT.* NN.* PR.*_CC.* VB.* PM.* FW CC.* FW CC.* CC.* JJ.*_CC.* FW FW FW NN.* NN.* NN.* FW PM.*,VBTS DTP JJD_CCP NNPA FW NNP NNP NNP CCT FW CCB FW CCP VBW CCP NNC CCT NNC DTP NNP DTC NNC PRO_CCP VBW PMS FW CCB FW CCT CCT JJD_CCP FW FW FW NNPA NNPA NNPA FW PMP,sabi ni dating pcso chair anselmo simeon pinilo sa hearing ng quadcom na lamang na motibo sa patay kay barayuga ang tanggi nito issue ng certificates para sa bago small town lottery (stl) franchises.,
Tila balakid si Barayuga sa pagkontrol ni Garma sa mga prangkisa ng STL.,RB.* NN.* DT.* NN.* CC.* NN.* DT.* NN.* CC.* DT.* NN.* CC.* NN.* PM.*,RBM NNC DTP NNP CCT NNC DTP NNP CCT DTCP NNC CCB NNPA PMP,tila balakid si barayuga sa kontrol ni garma sa mga prangkisa ng stl.,
"Sabi naman ni Surigao del Sur Representative Johnny Pimentel, tila nakaamba si Barayuga na isiwalat ang korupsiyon sa PCSO sa ilalim ni Garma.",VB.* RB.* DT.* NN.* FW NN.* NN.* NN.* NN.* PM.* RB.* VB.* DT.* NN.* CC.* VB.* DT.* NN.* CC.* NN.* CC.* JJ.* DT.* NN.* PM.*,VBS RBI DTP NNP FW NNP NNP NNP NNP PMC RBM VBTS DTP NNP CCP VBOF DTC NNC CCT NNPA CCT JJD DTP NNP PMP,"sabi naman ni surigao del sur representative johnny pimentel, tila amba si barayuga na siwalat ang korupsiyon sa pcso sa ilalim ni garma.",
"At ayon naman kay dating Cebu City mayor Tomas Osmeña, pinaghihinalaang protektor si Garma ng illegal numbers game.",CC.* RB.* RB.* DT.* JJ.*_CC.* NN.* NN.* NN.* NN.* NN.* PM.* VB.*_VB.*_CC.* NN.* DT.* NN.* CC.* FW FW FW PM.*,CCA RBR RBI DTP JJD_CCP NNP NNP NNC NNP NNP PMC VBTR_VBRF_CCP NNC DTP NNP CCB FW FW FW PMP,"at ayon naman kay dating cebu city mayor tomas osmeña, pinaghihinalaang protektor si garma ng illegal numbers game.",
"Teka, hindi lang ‘yan — tila dawit din ang pangalan ni Senador Bong Go dahil sa kanya raw nagsumbong si Pinilo at Osmeña tungkol sa mga nangyayari sa PCSO —at nada — walang nangyari.",NN.* PM.* RB.* RB.* PM.* PR.* PM.* RB.* VB.* RB.* DT.* NN.* DT.* NN.* NN.* NN.* CC.* CC.* PR.* RB.* VB.* DT.* NN.* CC.* NN.* RB.* CC.* DT.* VB.* CC.* NN.* PM.* CC.* VB.* PM.* VB.*_CC.* VB.* PM.*,NNC PMC RBF RBI PMS PRO PMS RBM VBTF RBI DTC NNC DTP NNP NNP NNP CCR CCT PRSP RBI VBTS DTP NNP CCA NNP RBR CCT DTCP VBTR CCT NNPA PMS CCA VBTS PMS VBN_CCP VBTS PMP,"teka, hindi lang ‘yan — tila dawit din ang kalan ni senador bong go dahil sa kanya raw sumbong si pinilo at osmeña tungkol sa mga nangyayari sa pcso —at nada — wala nangyari.",
"Protektor kaya ni Garma si Go, na siyang nag-ayos umano ng appointment papers ni Garma sa PCSO matapos italaga ng amo niyang si Duterte?",NN.* CC.* DT.* NN.* DT.* NN.* PM.* CC.* PR.*_CC.* VB.* PM.* NN.* CC.* CC.* FW FW DT.* NN.* CC.* NN.* VB.* VB.* CC.* FW PR.*_CC.* DT.* NN.* PM.*,NNC CCR DTP NNP DTP NNP PMC CCP PRS_CCP VBTS PMS NNC CCT CCB FW FW DTP NNP CCT NNPA VBW VBOF CCB FW PRS_CCP DTP NNP PMQ,"protektor kaya ni garma si go, na siya ayos ano ng appointment papers ni garma sa pcso tapos talaga ng amo niya si duterte?",
(Itinanggi na ni Go na may alam siya sa motibo sa pagpaslang kay Barayuga.),NN.* VB.* RB.* DT.* NN.* CC.* VB.* VB.* PR.* CC.* NN.* CC.* NN.* DT.* NN.* PM.* NN.*,NNPA VBTS RBI DTP NNP CCP VBH VBS PRS CCT NNC CCT NNC DTP NNP PMP NNPA,(itinanggi na ni go na may alam siya sa motibo sa paslang kay barayuga.),
Dawit din is Garma at Leonardo sa pagpatay sa tatlong Tsinong inmates sa Davao Prison and Penal Farm noong 2016.,JJ.* RB.* FW NN.* CC.* NN.* CC.* VB.* CC.* JJ.*_CC.* NN.*_CC.* NN.* CC.* NN.* NN.* FW NN.* NN.* RB.*_CC.* CD.* PM.*,JJD RBI FW NNP CCA NNP CCT VBW CCT JJN_CCP NNP_CCP NNC CCT NNP NNP FW NNP NNP RBW_CCP CDB PMP,dawit din is garma at leonardo sa patay sa tatlong tsino inmates sa davao prison and penal farm noo 2016.,
Pero ang pinakamatinding testimonya ay nanggaling mismo kay Garma.,CC.* DT.* JJ.*_JJ.*_CC.* NN.* LM VB.* RB.* DT.* NN.* PM.*,CCT DTC JJCS_JJD_CCP NNC LM VBTS RBT DTP NNP PMP,pero ang tindi testimonya ay nanggaling mismo kay garma.,
"Sa kanyang affidavit, sabi ni Garma, ipinatawag siya ni Duterte sa isang meeting.",CC.* PR.*_CC.* NN.* PM.* VB.* DT.* NN.* PM.* VB.* PR.* DT.* NN.* CC.* PR.*_CC.* FW PM.*,CCT PRSP_CCP NNC PMC VBS DTP NNP PMC VBOF PRS DTP NNP CCT PRI_CCP FW PMP,"sa kanya affidavit, sabi ni garma, tawag siya ni duterte sa isa meeting.",
Naghahanap daw ang Presidente ng magpapatupad ng war on drugs na “national scale” at sinusundan ang template ng “Davao model.”,VB.* RB.* DT.* NN.* CC.* VB.* CC.* FW FW FW CC.* PM.* FW FW PM.* CC.* VB.* DT.* FW CC.* PM.* NN.* FW PM.* PM.*,VBTR RBI DTC NNP CCB VBTF CCB FW FW FW CCP PMS FW FW PMS CCA VBTR DTC FW CCB PMS NNP FW PMP PMS,hanap daw ang presidente ng tupad ng war on drugs na “national scale” at sinusundan ang template ng “davao model.”,
Ang Davao model daw ay may reward system kung saan may gantimpala ang pumatay.,DT.* NN.* FW RB.* LM VB.* FW FW RB.* RB.* VB.* NN.* DT.* VB.* PM.*,DTC NNP FW RBI LM VBH FW FW RBK RBQ VBH NNC DTC VBAF PMP,ang davao model daw ay may reward system kung saan may gantimpala ang pumatay.,
"Ayon kay Garma nasa P20,000 ang reward sa Davao model at umaabot nang hanggang isang milyon ang cash incentive sa pagliligpit ng umano’y mga sangkot sa drug trade.",RB.* DT.* NN.* RB.* NN.* PM.* CD.* DT.* FW CC.* NN.* FW CC.* VB.*_VB.* RB.* RB.* PR.*_CC.* NN.* DT.* FW FW CC.* NN.* CC.* CC.* PM.* FW DT.* NN.* CC.* FW FW PM.*,RBR DTP NNP RBL NNPA PMC CDB DTC FW CCT NNP FW CCA VBTR_VBAF RBW RBW PRI_CCP NNC DTC FW FW CCT NNC CCB CCT PMS FW DTCP NNC CCT FW FW PMP,"ayon kay garma nasa p20,000 ang reward sa davao model at umaabot nang hanggang isa milyon ang cash incentive sa ligpit ng umano’y mga sangkot sa drug trade.",
"Pero ayon sa testimonya ng whistleblower ng dating Duterte assassin na si Arturo Lascañas, marami sa mga bikitima ay iniligpit dahil kakompetensiya sa underworld.",CC.* RB.* CC.* NN.* CC.* FW CC.* JJ.*_CC.* NN.* FW CC.* DT.* NN.* NN.* PM.* PR.* CC.* DT.* NN.* LM VB.* CC.* NN.* CC.* NN.* PM.*,CCT RBR CCT NNC CCB FW CCB JJD_CCP NNP FW CCP DTP NNP NNP PMC PRI CCT DTCP NNC LM VBTS CCR NNC CCT NNC PMP,"pero ayon sa testimonya ng whistleblower ng dating duterte assassin na si arturo lascañas, dami sa mga bikitima ay ligpit dahil kakompetensiya sa underworld.",
"At ayon kay Garma, si Bong Go ang sangkot sa operasyon dahil siya ang naghahanda ng weekly report at nagpoproseso ng mga refund.",CC.* RB.* DT.* NN.* PM.* DT.* NN.* NN.* DT.* JJ.* CC.* NN.* CC.* PR.* DT.* VB.* CC.* FW FW CC.* VB.* CC.* DT.* FW PM.*,CCA RBR DTP NNP PMC DTP NNP NNP DTC JJD CCT NNC CCR PRS DTC VBTR CCB FW FW CCA VBTR CCB DTCP FW PMP,"at ayon kay garma, si bong go ang sangkot sa operasyon dahil siya ang handa ng weekly report at nagpoproseso ng mga refund.",
Gaano kabagsik ang mafia na ito?,PR.* NN.* DT.* FW CC.* PR.* PM.*,PRQ NNC DTC FW CCP PRO PMQ,gaano bagsik ang mafia na ito?,
"Nang umano’y pinagbantaan ni Philippine National Police chief noon na si Ronald “Bato” dela Rosa, si Kerwin Espinosa na matutulad siya sa amang namatay sa umano’y shootout sa kulungan, agad sumunod si Espinosa.",RB.* CC.* PM.* FW VB.* DT.* NN.* NN.* NN.* FW RB.* CC.* DT.* NN.* PM.* NN.* PM.* FW NN.* PM.* DT.* NN.* NN.* CC.* VB.* PR.* CC.* NN.*_CC.* VB.* CC.* CC.* PM.* FW FW CC.* NN.* PM.* RB.* VB.* DT.* NN.* PM.*,RBW CCT PMS FW VBRF DTP NNP NNP NNP FW RBW CCP DTP NNP PMS NNP PMS FW NNP PMC DTP NNP NNP CCP VBW PRS CCT NNC_CCP VBTS CCT CCT PMS FW FW CCT NNC PMC RBW VBAF DTP NNP PMP,"nang umano’y banta ni philippine national police chief noon na si ronald “bato” dela rosa, si kerwin espinosa na tulad siya sa amang namatay sa umano’y shootout sa kulungan, agad sunod si espinosa.",
Si Kerwin ang isa sa maraming testigo laban kay dating Senador Leila de Lima na umano’y coerced o pinilit na magbigay ng pekeng testimonya.,DT.* NN.* DT.* PR.* CC.* PR.*_CC.* NN.* NN.* DT.* JJ.*_CC.* NN.* NN.* FW NN.* CC.* CC.* PM.* FW FW CC.* VB.* CC.* VB.* CC.* JJ.*_CC.* NN.* PM.*,DTP NNP DTC PRI CCT PRI_CCP NNC NNC DTP JJD_CCP NNP NNP FW NNP CCP CCT PMS FW FW CCT VBOF CCP VBAF CCB JJD_CCP NNC PMP,si kerwin ang isa sa dami testigo laban kay dating senador leila de lima na umano’y coerced o pilit na bigay ng peke testimonya.,
"Si Bato ang arkitekto ng tokhang, habang si Leonardo ang tactician.",DT.* NN.* DT.* NN.* CC.* NN.* PM.* RB.* DT.* NN.* DT.* NN.* PM.*,DTP NNP DTC NNC CCB NNC PMC RBW DTP NNP DTC NNC PMP,"si bato ang arkitekto ng tokhang, habang si leonardo ang tactician.",
"Si Garma ang operator, at ayon naman kay Arturo Lascañas — ang International Criminal Court witness laban kay Duterte — si Bong Go ang bookkeeper at disbursing officer.",DT.* NN.* DT.* FW PM.* CC.* RB.* RB.* DT.* NN.* NN.* PM.* DT.* NN.* NN.* NN.* FW NN.* DT.* NN.* PM.* DT.* NN.* NN.* DT.* FW CC.* FW FW PM.*,DTP NNP DTC FW PMC CCA RBR RBI DTP NNP NNP PMS DTC NNP NNP NNP FW NNC DTP NNP PMS DTP NNP NNP DTC FW CCA FW FW PMP,"si garma ang operator, at ayon naman kay arturo lascañas — ang international criminal court witness laban kay duterte — si bong go ang bookkeeper at disbursing officer.",
"Marami pang mga pangalan na sangkot, pero sila ang inner circle — ang pinakamakapangyarihang sindikato na umano’y nag-o-operate mula sa mga bulwagan ng gobyerno.",PR.* RB.*_CC.* DT.* NN.* CC.* JJ.* PM.* CC.* PR.* DT.* FW FW PM.* DT.* JJ.*_JJ.*_CC.* NN.* CC.* CC.* PM.* FW FW PM.* CC.* PM.* FW RB.* CC.* DT.* NN.* CC.* NN.* PM.*,PRI RBI_CCP DTCP NNC CCP JJD PMC CCT PRP DTC FW FW PMS DTC JJCS_JJD_CCP NNC CCP CCT PMS FW FW PMS CCT PMS FW RBL CCT DTCP NNC CCB NNC PMP,"dami pang mga kalan na sangkot, pero sila ang inner circle — ang pinakamakapangyarihang sindikato na umano’y operate mula sa mga bulwagan ng gobyerno.",
"Pero bilog ang mundo, at nagbabago ang kapalaran.",CC.* NN.* DT.* NN.* PM.* CC.* VB.* DT.* NN.* PM.*,CCT NNC DTC NNC PMC CCA VBTR DTC NNC PMP,"pero bilog ang mundo, at bago ang kapalaran.",
"Si Garma, tila inalat talaga.",DT.* NN.* PM.* RB.* VB.* RB.* PM.*,DTP NNP PMC RBM VBOF RBT PMP,"si garma, tila lat talaga.",
Kinansela ng Estados Unidos ang kanyang pasaporte.,VB.* CC.* NN.* NN.* DT.* PR.*_CC.* NN.* PM.*,VBTS CCB NNP NNP DTC PRSP_CCP NNC PMP,kansela ng estados unidos ang kanya pasaporte.,
Ang masakit nadiskubre niya ito sa Japan nang pa-board na siya sa connecting flight papuntang US.,DT.* JJ.* VB.* PR.* PR.* CC.* NN.* CC.* RB.* PM.* FW CC.* PR.* CC.* FW FW RB.*_CC.* NN.* PM.*,DTC JJD VBTS PRS PRO CCT NNP CCB RBI PMS FW CCP PRS CCT FW FW RBL_CCP NNPA PMP,ang sakit diskubre niya ito sa japan nang board na siya sa connecting flight punta us.,
"Pagkatapos, ipinatawag siya sa Mababang Kapulungan at na-contempt pa nang dalawang beses.",VB.* PM.* VB.* PR.* CC.* NN.*_CC.* NN.* CC.* CC.* PM.* FW RB.* RB.* JJ.*_CC.* NN.* PM.*,VBW PMC VBOF PRS CCT NNP_CCP NNP CCA CCP PMS FW RBI RBW JJN_CCP NNC PMP,"pagkatapos, tawag siya sa baba kapulungan at contempt pa nang dalawa beses.",
